ID,triple1,question,answer,inferred triple,label
475,Cape of Good Hope is different from Cape Point.,"Given the previous statement, is Cape Point an Cape of Good Hope?",Yes,Cape Point is different from Cape of Good Hope.,True
476,Capestrano is different from Capistrano.,"Given the previous statement, is Capistrano an Capestrano?",Yes,Capistrano is different from Capestrano.,True
477,Capistrano is different from Capestrano.,"Given the previous statement, is Capestrano an Capistrano?",Yes,Capestrano is different from Capistrano.,True
478,Capital is different from Capitol.,"Given the previous statement, is Capitol an Capital?",Yes,Capitol is different from Capital.,True
479,Capital Library is different from National Library of China.,"Given the previous statement, is National Library of China an Capital Library?",Yes,National Library of China is different from Capital Library.,True
480,Capital Medical University is different from Capital Normal University.,"Given the previous statement, is Capital Normal University an Capital Medical University?",Yes,Capital Normal University is different from Capital Medical University.,True
481,Capital Medical University is different from Capital University.,"Given the previous statement, is Capital University an Capital Medical University?",Yes,Capital University is different from Capital Medical University.,True
482,Capital Medical University is different from Business.,"Given the previous statement, is Business an Capital Medical University?",Yes,Business is different from Capital Medical University.,True
483,Capital Medical University is different from Capital University of Economics.,"Given the previous statement, is Capital University of Economics an Capital Medical University?",Yes,Capital University of Economics is different from Capital Medical University.,True
484,Capital Normal University is different from Capital Medical University.,"Given the previous statement, is Capital Medical University an Capital Normal University?",Yes,Capital Medical University is different from Capital Normal University.,True
485,Capital Normal University is different from Capital University.,"Given the previous statement, is Capital University an Capital Normal University?",Yes,Capital University is different from Capital Normal University.,True
486,Capital Normal University is different from Business.,"Given the previous statement, is Business an Capital Normal University?",Yes,Business is different from Capital Normal University.,True
487,Capital Normal University is different from Capital University of Economics.,"Given the previous statement, is Capital University of Economics an Capital Normal University?",Yes,Capital University of Economics is different from Capital Normal University.,True
488,Capital Region International Airport is different from Capital Airport.,"Given the previous statement, is Capital Airport an Capital Region International Airport?",Yes,Capital Airport is different from Capital Region International Airport.,True
489,Capital Region International Airport is different from Capital City Airport.,"Given the previous statement, is Capital City Airport an Capital Region International Airport?",Yes,Capital City Airport is different from Capital Region International Airport.,True
490,Capital Region of Denmark is different from The Capital Region.,"Given the previous statement, is The Capital Region an Capital Region of Denmark?",Yes,The Capital Region is different from Capital Region of Denmark.,True
491,Capital University is different from Capital Medical University.,"Given the previous statement, is Capital Medical University an Capital University?",Yes,Capital Medical University is different from Capital University.,True
492,Capital University is different from Capital Normal University.,"Given the previous statement, is Capital Normal University an Capital University?",Yes,Capital Normal University is different from Capital University.,True
493,Capital University is different from Business.,"Given the previous statement, is Business an Capital University?",Yes,Business is different from Capital University.,True
494,Capital University is different from Capital University of Economics.,"Given the previous statement, is Capital University of Economics an Capital University?",Yes,Capital University of Economics is different from Capital University.,True
495,Capital University of Economics and Business is different from Capital Medical University.,"Given the previous statement, is Capital Medical University an Capital University of Economics and Business?",Yes,Capital Medical University is different from Capital University of Economics and Business.,True
496,Capital University of Economics and Business is different from Capital Normal University.,"Given the previous statement, is Capital Normal University an Capital University of Economics and Business?",Yes,Capital Normal University is different from Capital University of Economics and Business.,True
497,Capital University of Economics and Business is different from Capital University.,"Given the previous statement, is Capital University an Capital University of Economics and Business?",Yes,Capital University is different from Capital University of Economics and Business.,True
498,Capital and Counties Bank is different from Cambridge & Counties Bank.,"Given the previous statement, is Cambridge & Counties Bank an Capital and Counties Bank?",Yes,Cambridge & Counties Bank is different from Capital and Counties Bank.,True
499,Capital punishment is different from Corporal punishment.,"Given the previous statement, is Corporal punishment an Capital punishment?",Yes,Corporal punishment is different from Capital punishment.,True
500,Capitol is different from Capital.,"Given the previous statement, is Capital an Capitol?",Yes,Capital is different from Capitol.,True
501,Capitol Broadcasting Company is different from Capital Cities Communications.,"Given the previous statement, is Capital Cities Communications an Capitol Broadcasting Company?",Yes,Capital Cities Communications is different from Capitol Broadcasting Company.,True
502,Capitol Hill is different from Capitoline Hill.,"Given the previous statement, is Capitoline Hill an Capitol Hill?",Yes,Capitoline Hill is different from Capitol Hill.,True
503,Capitol University is different from Capital University.,"Given the previous statement, is Capital University an Capitol University?",Yes,Capital University is different from Capitol University.,True
504,Capitol of Puerto Rico is different from Capital of Puerto Rico.,"Given the previous statement, is Capital of Puerto Rico an Capitol of Puerto Rico?",Yes,Capital of Puerto Rico is different from Capitol of Puerto Rico.,True
505,Capitoline Hill is different from Capitol Hill.,"Given the previous statement, is Capitol Hill an Capitoline Hill?",Yes,Capitol Hill is different from Capitoline Hill.,True
506,Caplin Cove is different from Labrador.,"Given the previous statement, is Labrador an Caplin Cove?",Yes,Labrador is different from Caplin Cove.,True
507,Caplin Cove is different from Newfoundland.,"Given the previous statement, is Newfoundland an Caplin Cove?",Yes,Newfoundland is different from Caplin Cove.,True
508,Caplin Cove is different from Caplin Cove-Southport.,"Given the previous statement, is Caplin Cove-Southport an Caplin Cove?",Yes,Caplin Cove-Southport is different from Caplin Cove.,True
509,Cappuccino is different from Cappucino.,"Given the previous statement, is Cappucino an Cappuccino?",Yes,Cappucino is different from Cappuccino.,True
510,Cappucino is different from Cappuccino.,"Given the previous statement, is Cappuccino an Cappucino?",Yes,Cappuccino is different from Cappucino.,True
511,Capra dalii is different from Ovis dalli.,"Given the previous statement, is Ovis dalli an Capra dalii?",Yes,Ovis dalli is different from Capra dalii.,True
512,Capri is different from Carpi.,"Given the previous statement, is Carpi an Capri?",Yes,Carpi is different from Capri.,True
513,Capriolo is different from Caprioli.,"Given the previous statement, is Caprioli an Capriolo?",Yes,Caprioli is different from Capriolo.,True
514,Captain is different from The Captain.,"Given the previous statement, is The Captain an Captain?",Yes,The Captain is different from Captain.,True
515,Captain America is different from Steve Rogers.,"Given the previous statement, is Steve Rogers an Captain America?",Yes,Steve Rogers is different from Captain America.,True
516,Captain Earth is different from Captain Planet.,"Given the previous statement, is Captain Planet an Captain Earth?",Yes,Captain Planet is different from Captain Earth.,True
517,Captain Earth is different from The Planeteers.,"Given the previous statement, is The Planeteers an Captain Earth?",Yes,The Planeteers is different from Captain Earth.,True
518,Captain Fantastic is different from Captain Fantastic.,"Given the previous statement, is Captain Fantastic an Captain Fantastic?",Yes,Captain Fantastic is different from Captain Fantastic.,True
519,Captain Fantastic is different from The Brown Dirt Cowboy.,"Given the previous statement, is The Brown Dirt Cowboy an Captain Fantastic?",Yes,The Brown Dirt Cowboy is different from Captain Fantastic.,True
520,Captain My Captain is different from O Captain! My Captain!.,"Given the previous statement, is O Captain! My Captain! an Captain My Captain?",Yes,O Captain! My Captain! is different from Captain My Captain.,True
521,Captain Planet and the Planeteers is different from Captain Earth.,"Given the previous statement, is Captain Earth an Captain Planet and the Planeteers?",Yes,Captain Earth is different from Captain Planet and the Planeteers.,True
522,Captain Prabhakaran is different from Velupillai Prabhakaran.,"Given the previous statement, is Velupillai Prabhakaran an Captain Prabhakaran?",Yes,Velupillai Prabhakaran is different from Captain Prabhakaran.,True
523,Captain Qwark is different from Quark.,"Given the previous statement, is Quark an Captain Qwark?",Yes,Quark is different from Captain Qwark.,True
524,Captain Scarlett is different from Captain Scarlet.,"Given the previous statement, is Captain Scarlet an Captain Scarlett?",Yes,Captain Scarlet is different from Captain Scarlett.,True
525,Captain general of the Navy is different from Captain general of the Sea.,"Given the previous statement, is Captain general of the Sea an Captain general of the Navy?",Yes,Captain general of the Sea is different from Captain general of the Navy.,True
526,Captal is different from Capital.,"Given the previous statement, is Capital an Captal?",Yes,Capital is different from Captal.,True
527,CarMax is different from Carfax.,"Given the previous statement, is Carfax an CarMax?",Yes,Carfax is different from CarMax.,True
528,CarMax is different from Carmex.,"Given the previous statement, is Carmex an CarMax?",Yes,Carmex is different from CarMax.,True
529,Cara Island is different from Càrna.,"Given the previous statement, is Càrna an Cara Island?",Yes,Càrna is different from Cara Island.,True
530,Cara Mia is different from Kara Mia.,"Given the previous statement, is Kara Mia an Cara Mia?",Yes,Kara Mia is different from Cara Mia.,True
531,Cara language is different from Chara language.,"Given the previous statement, is Chara language an Cara language?",Yes,Chara language is different from Cara language.,True
532,Cara language is different from Kara language.,"Given the previous statement, is Kara language an Cara language?",Yes,Kara language is different from Cara language.,True
533,Caracol is different from Karakol.,"Given the previous statement, is Karakol an Caracol?",Yes,Karakol is different from Caracol.,True
534,Carahasani is different from Karahasan.,"Given the previous statement, is Karahasan an Carahasani?",Yes,Karahasan is different from Carahasani.,True
535,Caramel apple is different from Candy apple.,"Given the previous statement, is Candy apple an Caramel apple?",Yes,Candy apple is different from Caramel apple.,True
536,Caramoan is different from Caramoran.,"Given the previous statement, is Caramoran an Caramoan?",Yes,Caramoran is different from Caramoan.,True
537,Caramoran is different from Caramoan.,"Given the previous statement, is Caramoan an Caramoran?",Yes,Caramoan is different from Caramoran.,True
538,Caraval is different from Caravel.,"Given the previous statement, is Caravel an Caraval?",Yes,Caravel is different from Caraval.,True
539,Caraval is different from Cervical.,"Given the previous statement, is Cervical an Caraval?",Yes,Cervical is different from Caraval.,True
540,Caravan is different from The Caravan.,"Given the previous statement, is The Caravan an Caravan?",Yes,The Caravan is different from Caravan.,True
541,Carbamazepine is different from Carbamazine.,"Given the previous statement, is Carbamazine an Carbamazepine?",Yes,Carbamazine is different from Carbamazepine.,True
542,Carbamic acid is different from Carbonic acid.,"Given the previous statement, is Carbonic acid an Carbamic acid?",Yes,Carbonic acid is different from Carbamic acid.,True
543,Carbine is different from Carabiner.,"Given the previous statement, is Carabiner an Carbine?",Yes,Carabiner is different from Carbine.,True
544,Carbine is different from Carbene.,"Given the previous statement, is Carbene an Carbine?",Yes,Carbene is different from Carbine.,True
545,Carbine is different from Carbyne.,"Given the previous statement, is Carbyne an Carbine?",Yes,Carbyne is different from Carbine.,True
546,Carbohydrate is different from Hydrocarbon.,"Given the previous statement, is Hydrocarbon an Carbohydrate?",Yes,Hydrocarbon is different from Carbohydrate.,True
547,Carbon Canyon Dam is different from California.,"Given the previous statement, is California an Carbon Canyon Dam?",Yes,California is different from Carbon Canyon Dam.,True
548,Carbon Canyon Dam is different from Canyon.,"Given the previous statement, is Canyon an Carbon Canyon Dam?",Yes,Canyon is different from Carbon Canyon Dam.,True
549,Carbon snake is different from Black snake.,"Given the previous statement, is Black snake an Carbon snake?",Yes,Black snake is different from Carbon snake.,True
550,Carbonari is different from Carabinieri.,"Given the previous statement, is Carabinieri an Carbonari?",Yes,Carabinieri is different from Carbonari.,True
551,Carbonate is different from Carbon trioxide.,"Given the previous statement, is Carbon trioxide an Carbonate?",Yes,Carbon trioxide is different from Carbonate.,True
552,Carbonic acid is different from Phenol.,"Given the previous statement, is Phenol an Carbonic acid?",Yes,Phenol is different from Carbonic acid.,True
553,"Carbost, Loch Harport is different from Carbost.","Given the previous statement, is Carbost an Carbost, Loch Harport?",Yes,"Carbost is different from Carbost, Loch Harport.",True
554,"Carbost, Loch Harport is different from Trotternish.","Given the previous statement, is Trotternish an Carbost, Loch Harport?",Yes,"Trotternish is different from Carbost, Loch Harport.",True
555,"Carbost, Trotternish is different from Carbost.","Given the previous statement, is Carbost an Carbost, Trotternish?",Yes,"Carbost is different from Carbost, Trotternish.",True
556,"Carbost, Trotternish is different from Loch Harport.","Given the previous statement, is Loch Harport an Carbost, Trotternish?",Yes,"Loch Harport is different from Carbost, Trotternish.",True
557,Carbury GAA is different from Carbery GAA.,"Given the previous statement, is Carbery GAA an Carbury GAA?",Yes,Carbery GAA is different from Carbury GAA.,True
558,Carcharodontosaurus is different from Carcharodon.,"Given the previous statement, is Carcharodon an Carcharodontosaurus?",Yes,Carcharodon is different from Carcharodontosaurus.,True
559,Carcinoid is different from Chancroid.,"Given the previous statement, is Chancroid an Carcinoid?",Yes,Chancroid is different from Carcinoid.,True
560,CardEx is different from Kardex.,"Given the previous statement, is Kardex an CardEx?",Yes,Kardex is different from CardEx.,True
561,Card is different from Sports card.,"Given the previous statement, is Sports card an Card?",Yes,Sports card is different from Card.,True
562,Card is different from Penalty card.,"Given the previous statement, is Penalty card an Card?",Yes,Penalty card is different from Card.,True
563,Card manipulation is different from Cartomancy.,"Given the previous statement, is Cartomancy an Card manipulation?",Yes,Cartomancy is different from Card manipulation.,True
564,Card sorting is different from Card sorter.,"Given the previous statement, is Card sorter an Card sorting?",Yes,Card sorter is different from Card sorting.,True
565,Cardamom Hills is different from Cardamom Mountains.,"Given the previous statement, is Cardamom Mountains an Cardamom Hills?",Yes,Cardamom Mountains is different from Cardamom Hills.,True
566,Cardiff city centre is different from Cardiff Central.,"Given the previous statement, is Cardiff Central an Cardiff city centre?",Yes,Cardiff Central is different from Cardiff city centre.,True
567,Cardinal Courier Media is different from C-lehti.,"Given the previous statement, is C-lehti an Cardinal Courier Media?",Yes,C-lehti is different from Cardinal Courier Media.,True
568,Cardinal O'Hara High School is different from New York).,"Given the previous statement, is New York) an Cardinal O'Hara High School?",Yes,New York) is different from Cardinal O'Hara High School.,True
569,Cardinal O'Hara High School is different from Cardinal O'Hara High School (Tonawanda.,"Given the previous statement, is Cardinal O'Hara High School (Tonawanda an Cardinal O'Hara High School?",Yes,Cardinal O'Hara High School (Tonawanda is different from Cardinal O'Hara High School.,True
570,Cardinal de Rohan is different from Armand Gaston Maximilien de Rohan.,"Given the previous statement, is Armand Gaston Maximilien de Rohan an Cardinal de Rohan?",Yes,Armand Gaston Maximilien de Rohan is different from Cardinal de Rohan.,True
571,Cardinal de Rohan is different from Louis Constantin de Rohan.,"Given the previous statement, is Louis Constantin de Rohan an Cardinal de Rohan?",Yes,Louis Constantin de Rohan is different from Cardinal de Rohan.,True
572,Cardinal de Rohan is different from Armand de Rohan-Soubise.,"Given the previous statement, is Armand de Rohan-Soubise an Cardinal de Rohan?",Yes,Armand de Rohan-Soubise is different from Cardinal de Rohan.,True
573,Cardio-Vascular is different from Cardiovascular.,"Given the previous statement, is Cardiovascular an Cardio-Vascular?",Yes,Cardiovascular is different from Cardio-Vascular.,True
574,CareFlight is different from CareFlite.,"Given the previous statement, is CareFlite an CareFlight?",Yes,CareFlite is different from CareFlight.,True
575,Careem is different from Karim.,"Given the previous statement, is Karim an Careem?",Yes,Karim is different from Careem.,True
576,Caret is different from Carrot.,"Given the previous statement, is Carrot an Caret?",Yes,Carrot is different from Caret.,True
577,Caret is different from Carat.,"Given the previous statement, is Carat an Caret?",Yes,Carat is different from Caret.,True
578,Caret is different from Carrot.,"Given the previous statement, is Carrot an Caret?",Yes,Carrot is different from Caret.,True
579,Caretaker is different from The Caretaker.,"Given the previous statement, is The Caretaker an Caretaker?",Yes,The Caretaker is different from Caretaker.,True
580,Carey Hart is different from Corey Hart.,"Given the previous statement, is Corey Hart an Carey Hart?",Yes,Corey Hart is different from Carey Hart.,True
581,Carfax is different from CarMax.,"Given the previous statement, is CarMax an Carfax?",Yes,CarMax is different from Carfax.,True
582,Carfentanil is different from Carfenil.,"Given the previous statement, is Carfenil an Carfentanil?",Yes,Carfenil is different from Carfentanil.,True
583,Cargill is different from Kargil.,"Given the previous statement, is Kargil an Cargill?",Yes,Kargil is different from Cargill.,True
584,Carib Theatre is different from Little Carib Theatre.,"Given the previous statement, is Little Carib Theatre an Carib Theatre?",Yes,Little Carib Theatre is different from Carib Theatre.,True
585,Cariboo is different from Cariboo.,"Given the previous statement, is Cariboo an Cariboo?",Yes,Cariboo is different from Cariboo.,True
586,Cariboo River Provincial Park is different from Caribou River Provincial Park.,"Given the previous statement, is Caribou River Provincial Park an Cariboo River Provincial Park?",Yes,Caribou River Provincial Park is different from Cariboo River Provincial Park.,True
587,Carinthia is different from Corinthia.,"Given the previous statement, is Corinthia an Carinthia?",Yes,Corinthia is different from Carinthia.,True
588,Carl-Georg Andersson is different from Carl Andersson.,"Given the previous statement, is Carl Andersson an Carl-Georg Andersson?",Yes,Carl Andersson is different from Carl-Georg Andersson.,True
589,Carl A. Anderson is different from Carl Albert Andersen.,"Given the previous statement, is Carl Albert Andersen an Carl A. Anderson?",Yes,Carl Albert Andersen is different from Carl A. Anderson.,True
590,Carl Albert Andersen is different from Carl Albert Anderson.,"Given the previous statement, is Carl Albert Anderson an Carl Albert Andersen?",Yes,Carl Albert Anderson is different from Carl Albert Andersen.,True
591,Carl Andersson is different from Carl-Georg Andersson.,"Given the previous statement, is Carl-Georg Andersson an Carl Andersson?",Yes,Carl-Georg Andersson is different from Carl Andersson.,True
592,Carl Axel Arrhenius is different from Svante Arrhenius.,"Given the previous statement, is Svante Arrhenius an Carl Axel Arrhenius?",Yes,Svante Arrhenius is different from Carl Axel Arrhenius.,True
593,Carl Björk is different from Born 2000).,"Given the previous statement, is Born 2000) an Carl Björk?",Yes,Born 2000) is different from Carl Björk.,True
594,Carl Björk is different from Carl Björk (footballer.,"Given the previous statement, is Carl Björk (footballer an Carl Björk?",Yes,Carl Björk (footballer is different from Carl Björk.,True
595,Carl Björk is different from Born 1992).,"Given the previous statement, is Born 1992) an Carl Björk?",Yes,Born 1992) is different from Carl Björk.,True
596,Carl Björk is different from Carl Björk (footballer.,"Given the previous statement, is Carl Björk (footballer an Carl Björk?",Yes,Carl Björk (footballer is different from Carl Björk.,True
597,Carl Cooke is different from Carl Cook.,"Given the previous statement, is Carl Cook an Carl Cooke?",Yes,Carl Cook is different from Carl Cooke.,True
598,Carl Cox is different from Karl Cox.,"Given the previous statement, is Karl Cox an Carl Cox?",Yes,Karl Cox is different from Carl Cox.,True
599,Carl Edwards Jr. is different from Carl Edwards.,"Given the previous statement, is Carl Edwards an Carl Edwards Jr.?",Yes,Carl Edwards is different from Carl Edwards Jr..,True
600,Carl Friedrich Schmid is different from Carl Friedrich Schmidt.,"Given the previous statement, is Carl Friedrich Schmidt an Carl Friedrich Schmid?",Yes,Carl Friedrich Schmidt is different from Carl Friedrich Schmid.,True
601,Carl Friedrich Schmidt is different from Carl Friedrich Schmid.,"Given the previous statement, is Carl Friedrich Schmid an Carl Friedrich Schmidt?",Yes,Carl Friedrich Schmid is different from Carl Friedrich Schmidt.,True
602,Carl Friedrich Schmidt is different from Carl Friedrich Schmidt.,"Given the previous statement, is Carl Friedrich Schmidt an Carl Friedrich Schmidt?",Yes,Carl Friedrich Schmidt is different from Carl Friedrich Schmidt.,True
603,Carl Howard is different from Carl Howard.,"Given the previous statement, is Carl Howard an Carl Howard?",Yes,Carl Howard is different from Carl Howard.,True
604,Carl Kendall is different from Carol Kendall.,"Given the previous statement, is Carol Kendall an Carl Kendall?",Yes,Carol Kendall is different from Carl Kendall.,True
605,Carl Kendall is different from Carol Kendall.,"Given the previous statement, is Carol Kendall an Carl Kendall?",Yes,Carol Kendall is different from Carl Kendall.,True
606,Carl Linnaeus is different from Carl Linnaeus the Younger.,"Given the previous statement, is Carl Linnaeus the Younger an Carl Linnaeus?",Yes,Carl Linnaeus the Younger is different from Carl Linnaeus.,True
607,Carl Linnaeus is different from Karl Linnas.,"Given the previous statement, is Karl Linnas an Carl Linnaeus?",Yes,Karl Linnas is different from Carl Linnaeus.,True
608,Carl Ludwig Willdenow is different from Wild.,"Given the previous statement, is Wild an Carl Ludwig Willdenow?",Yes,Wild is different from Carl Ludwig Willdenow.,True
609,Carl Lutz is different from Karl Lutz.,"Given the previous statement, is Karl Lutz an Carl Lutz?",Yes,Karl Lutz is different from Carl Lutz.,True
610,Carl Martin is different from Carl Martin.,"Given the previous statement, is Carl Martin an Carl Martin?",Yes,Carl Martin is different from Carl Martin.,True
611,Carl Martin is different from Carl Martin.,"Given the previous statement, is Carl Martin an Carl Martin?",Yes,Carl Martin is different from Carl Martin.,True
612,Carl Otto Løvenskiold is different from Carl Otto Løvenskiold.,"Given the previous statement, is Carl Otto Løvenskiold an Carl Otto Løvenskiold?",Yes,Carl Otto Løvenskiold is different from Carl Otto Løvenskiold.,True
613,Carl Otto Løvenskiold is different from Carl Otto Løvenskiold.,"Given the previous statement, is Carl Otto Løvenskiold an Carl Otto Løvenskiold?",Yes,Carl Otto Løvenskiold is different from Carl Otto Løvenskiold.,True
614,Carl Schmidt is different from Karl Schmid.,"Given the previous statement, is Karl Schmid an Carl Schmidt?",Yes,Karl Schmid is different from Carl Schmidt.,True
615,Carl Schulz is different from Karl Schulz.,"Given the previous statement, is Karl Schulz an Carl Schulz?",Yes,Karl Schulz is different from Carl Schulz.,True
616,Carla Cassola is different from Carlo Cassola.,"Given the previous statement, is Carlo Cassola an Carla Cassola?",Yes,Carlo Cassola is different from Carla Cassola.,True
617,Carle Augustus Woodruff is different from Charles Albert Woodruff.,"Given the previous statement, is Charles Albert Woodruff an Carle Augustus Woodruff?",Yes,Charles Albert Woodruff is different from Carle Augustus Woodruff.,True
618,Carle Illinois College of Medicine is different from University of Illinois College of Medicine.,"Given the previous statement, is University of Illinois College of Medicine an Carle Illinois College of Medicine?",Yes,University of Illinois College of Medicine is different from Carle Illinois College of Medicine.,True
619,Carles Santos is different from Carlos Santos.,"Given the previous statement, is Carlos Santos an Carles Santos?",Yes,Carlos Santos is different from Carles Santos.,True
620,Carleson's theorem is different from Carlson's theorem.,"Given the previous statement, is Carlson's theorem an Carleson's theorem?",Yes,Carlson's theorem is different from Carleson's theorem.,True
621,"Carleton, West Yorkshire is different from West Yorkshire.","Given the previous statement, is West Yorkshire an Carleton, West Yorkshire?",Yes,"West Yorkshire is different from Carleton, West Yorkshire.",True
622,"Carleton, West Yorkshire is different from Carlton.","Given the previous statement, is Carlton an Carleton, West Yorkshire?",Yes,"Carlton is different from Carleton, West Yorkshire.",True
623,Carleton-in-Craven is different from North Yorkshire.,"Given the previous statement, is North Yorkshire an Carleton-in-Craven?",Yes,North Yorkshire is different from Carleton-in-Craven.,True
624,Carleton-in-Craven is different from Carlton.,"Given the previous statement, is Carlton an Carleton-in-Craven?",Yes,Carlton is different from Carleton-in-Craven.,True
625,Carlington is different from Carrington.,"Given the previous statement, is Carrington an Carlington?",Yes,Carrington is different from Carlington.,True
626,"Carlisle, Kentucky is different from Kentucky.","Given the previous statement, is Kentucky an Carlisle, Kentucky?",Yes,"Kentucky is different from Carlisle, Kentucky.",True
627,"Carlisle, Kentucky is different from Carlisle County.","Given the previous statement, is Carlisle County an Carlisle, Kentucky?",Yes,"Carlisle County is different from Carlisle, Kentucky.",True
628,"Carlisle County, Kentucky is different from Carlisle.","Given the previous statement, is Carlisle an Carlisle County, Kentucky?",Yes,"Carlisle is different from Carlisle County, Kentucky.",True
629,"Carlisle County, Kentucky is different from Kentucky.","Given the previous statement, is Kentucky an Carlisle County, Kentucky?",Yes,"Kentucky is different from Carlisle County, Kentucky.",True
630,Carlo Bonomi is different from Carlo Bononi.,"Given the previous statement, is Carlo Bononi an Carlo Bonomi?",Yes,Carlo Bononi is different from Carlo Bonomi.,True
631,Carlo Carretto is different from Carlo Domenico del Carretto.,"Given the previous statement, is Carlo Domenico del Carretto an Carlo Carretto?",Yes,Carlo Domenico del Carretto is different from Carlo Carretto.,True
632,Carlo Cassola is different from Carla Cassola.,"Given the previous statement, is Carla Cassola an Carlo Cassola?",Yes,Carla Cassola is different from Carlo Cassola.,True
633,Carlo Cokxxx Nutten 2 is different from Carlo Cokxxx Nutten II.,"Given the previous statement, is Carlo Cokxxx Nutten II an Carlo Cokxxx Nutten 2?",Yes,Carlo Cokxxx Nutten II is different from Carlo Cokxxx Nutten 2.,True
634,Carlo Cokxxx Nutten II is different from Carlo Cokxxx Nutten 2.,"Given the previous statement, is Carlo Cokxxx Nutten 2 an Carlo Cokxxx Nutten II?",Yes,Carlo Cokxxx Nutten 2 is different from Carlo Cokxxx Nutten II.,True
635,Carlo Perrone is different from Carlo Perrone.,"Given the previous statement, is Carlo Perrone an Carlo Perrone?",Yes,Carlo Perrone is different from Carlo Perrone.,True
636,Carlo Perrone is different from Carlo Perrone.,"Given the previous statement, is Carlo Perrone an Carlo Perrone?",Yes,Carlo Perrone is different from Carlo Perrone.,True
637,Carlo Rota is different from Gian-Carlo Rota.,"Given the previous statement, is Gian-Carlo Rota an Carlo Rota?",Yes,Gian-Carlo Rota is different from Carlo Rota.,True
638,Carlo de' Medici is different from Carlo de' Medici.,"Given the previous statement, is Carlo de' Medici an Carlo de' Medici?",Yes,Carlo de' Medici is different from Carlo de' Medici.,True
639,Carlos Abaunza is different from Carlos Alberto Abaunza.,"Given the previous statement, is Carlos Alberto Abaunza an Carlos Abaunza?",Yes,Carlos Alberto Abaunza is different from Carlos Abaunza.,True
640,Carlos Aguilera is different from Carlos Aguilera.,"Given the previous statement, is Carlos Aguilera an Carlos Aguilera?",Yes,Carlos Aguilera is different from Carlos Aguilera.,True
641,Carlos Alazraqui is different from Carlos Alazraki.,"Given the previous statement, is Carlos Alazraki an Carlos Alazraqui?",Yes,Carlos Alazraki is different from Carlos Alazraqui.,True
642,Carlos Alberto Abaunza is different from Carlos Abaunza.,"Given the previous statement, is Carlos Abaunza an Carlos Alberto Abaunza?",Yes,Carlos Abaunza is different from Carlos Alberto Abaunza.,True
643,Carlos Bellvís is different from Carlos Llorens.,"Given the previous statement, is Carlos Llorens an Carlos Bellvís?",Yes,Carlos Llorens is different from Carlos Bellvís.,True
644,Carlos Betancourt is different from Carlos Betancur.,"Given the previous statement, is Carlos Betancur an Carlos Betancourt?",Yes,Carlos Betancur is different from Carlos Betancourt.,True
645,Carlos Betancur is different from Carlos Betancourt.,"Given the previous statement, is Carlos Betancourt an Carlos Betancur?",Yes,Carlos Betancourt is different from Carlos Betancur.,True
646,Carlos Borges is different from Born 2004).,"Given the previous statement, is Born 2004) an Carlos Borges?",Yes,Born 2004) is different from Carlos Borges.,True
647,Carlos Borges is different from Carlos Borges (footballer.,"Given the previous statement, is Carlos Borges (footballer an Carlos Borges?",Yes,Carlos Borges (footballer is different from Carlos Borges.,True
648,Carlos Chagas is different from Carlos Chagas.,"Given the previous statement, is Carlos Chagas an Carlos Chagas?",Yes,Carlos Chagas is different from Carlos Chagas.,True
649,Carlos Chagas is different from Minas Gerais.,"Given the previous statement, is Minas Gerais an Carlos Chagas?",Yes,Minas Gerais is different from Carlos Chagas.,True
650,Carlos Clark is different from Carlos Clark.,"Given the previous statement, is Carlos Clark an Carlos Clark?",Yes,Carlos Clark is different from Carlos Clark.,True
651,Carlos Correia is different from Carlos Correa.,"Given the previous statement, is Carlos Correa an Carlos Correia?",Yes,Carlos Correa is different from Carlos Correia.,True
652,Carlos Eduardo is different from Carlos Eduardo Rocha.,"Given the previous statement, is Carlos Eduardo Rocha an Carlos Eduardo?",Yes,Carlos Eduardo Rocha is different from Carlos Eduardo.,True
653,Carlos Escobar is different from Born 1990).,"Given the previous statement, is Born 1990) an Carlos Escobar?",Yes,Born 1990) is different from Carlos Escobar.,True
654,Carlos Escobar is different from Carlos Escobar (footballer.,"Given the previous statement, is Carlos Escobar (footballer an Carlos Escobar?",Yes,Carlos Escobar (footballer is different from Carlos Escobar.,True
655,Carlos Escobar is different from Born 1989).,"Given the previous statement, is Born 1989) an Carlos Escobar?",Yes,Born 1989) is different from Carlos Escobar.,True
656,Carlos Escobar is different from Carlos Escobar (footballer.,"Given the previous statement, is Carlos Escobar (footballer an Carlos Escobar?",Yes,Carlos Escobar (footballer is different from Carlos Escobar.,True
657,Carlos Espinosa is different from Carlos Espinoza.,"Given the previous statement, is Carlos Espinoza an Carlos Espinosa?",Yes,Carlos Espinoza is different from Carlos Espinosa.,True
658,Carlos Ferreira is different from Sebastián Ferreira.,"Given the previous statement, is Sebastián Ferreira an Carlos Ferreira?",Yes,Sebastián Ferreira is different from Carlos Ferreira.,True
659,Carlos Fonseca is different from Born 1987).,"Given the previous statement, is Born 1987) an Carlos Fonseca?",Yes,Born 1987) is different from Carlos Fonseca.,True
660,Carlos Fonseca is different from Carlos Fonseca (footballer.,"Given the previous statement, is Carlos Fonseca (footballer an Carlos Fonseca?",Yes,Carlos Fonseca (footballer is different from Carlos Fonseca.,True
