ID,triple1,question,answer,inferred triple,label
516,M is different from K.,"Given the previous statements, is K diferent from M?",Yes,K is different from M.,True
517,M is different from W.,"Given the previous statements, is W diferent from M?",Yes,W is different from M.,True
518,M is different from G.,"Given the previous statements, is G diferent from M?",Yes,G is different from M.,True
519,M is different from Q.,"Given the previous statements, is Q diferent from M?",Yes,Q is different from M.,True
520,M is different from L.,"Given the previous statements, is L diferent from M?",Yes,L is different from M.,True
521,N is different from S.,"Given the previous statements, is S diferent from N?",Yes,S is different from N.,True
522,N is different from A.,"Given the previous statements, is A diferent from N?",Yes,A is different from N.,True
523,N is different from Z.,"Given the previous statements, is Z diferent from N?",Yes,Z is different from N.,True
524,N is different from X.,"Given the previous statements, is X diferent from N?",Yes,X is different from N.,True
525,N is different from Z.,"Given the previous statements, is Z diferent from N?",Yes,Z is different from N.,True
526,N is different from Q.,"Given the previous statements, is Q diferent from N?",Yes,Q is different from N.,True
527,N is different from P.,"Given the previous statements, is P diferent from N?",Yes,P is different from N.,True
528,N is different from I.,"Given the previous statements, is I diferent from N?",Yes,I is different from N.,True
529,N is different from T.,"Given the previous statements, is T diferent from N?",Yes,T is different from N.,True
530,N is different from I.,"Given the previous statements, is I diferent from N?",Yes,I is different from N.,True
531,N is different from K.,"Given the previous statements, is K diferent from N?",Yes,K is different from N.,True
532,N is different from Q.,"Given the previous statements, is Q diferent from N?",Yes,Q is different from N.,True
533,N is different from K.,"Given the previous statements, is K diferent from N?",Yes,K is different from N.,True
534,N is different from V.,"Given the previous statements, is V diferent from N?",Yes,V is different from N.,True
535,N is different from D.,"Given the previous statements, is D diferent from N?",Yes,D is different from N.,True
536,N is different from H.,"Given the previous statements, is H diferent from N?",Yes,H is different from N.,True
537,N is different from H.,"Given the previous statements, is H diferent from N?",Yes,H is different from N.,True
538,N is different from Q.,"Given the previous statements, is Q diferent from N?",Yes,Q is different from N.,True
539,N is different from A.,"Given the previous statements, is A diferent from N?",Yes,A is different from N.,True
540,N is different from F.,"Given the previous statements, is F diferent from N?",Yes,F is different from N.,True
541,N is different from B.,"Given the previous statements, is B diferent from N?",Yes,B is different from N.,True
542,N is different from S.,"Given the previous statements, is S diferent from N?",Yes,S is different from N.,True
543,N is different from P.,"Given the previous statements, is P diferent from N?",Yes,P is different from N.,True
544,N is different from A.,"Given the previous statements, is A diferent from N?",Yes,A is different from N.,True
545,N is different from P.,"Given the previous statements, is P diferent from N?",Yes,P is different from N.,True
546,N is different from V.,"Given the previous statements, is V diferent from N?",Yes,V is different from N.,True
547,N is different from U.,"Given the previous statements, is U diferent from N?",Yes,U is different from N.,True
548,N is different from Y.,"Given the previous statements, is Y diferent from N?",Yes,Y is different from N.,True
549,N is different from E.,"Given the previous statements, is E diferent from N?",Yes,E is different from N.,True
550,N is different from U.,"Given the previous statements, is U diferent from N?",Yes,U is different from N.,True
551,N is different from G.,"Given the previous statements, is G diferent from N?",Yes,G is different from N.,True
552,N is different from Y.,"Given the previous statements, is Y diferent from N?",Yes,Y is different from N.,True
553,N is different from F.,"Given the previous statements, is F diferent from N?",Yes,F is different from N.,True
554,N is different from H.,"Given the previous statements, is H diferent from N?",Yes,H is different from N.,True
555,N is different from E.,"Given the previous statements, is E diferent from N?",Yes,E is different from N.,True
556,N is different from V.,"Given the previous statements, is V diferent from N?",Yes,V is different from N.,True
557,N is different from T.,"Given the previous statements, is T diferent from N?",Yes,T is different from N.,True
558,N is different from Z.,"Given the previous statements, is Z diferent from N?",Yes,Z is different from N.,True
559,N is different from H.,"Given the previous statements, is H diferent from N?",Yes,H is different from N.,True
560,N is different from Q.,"Given the previous statements, is Q diferent from N?",Yes,Q is different from N.,True
561,O is different from A.,"Given the previous statements, is A diferent from O?",Yes,A is different from O.,True
562,O is different from Q.,"Given the previous statements, is Q diferent from O?",Yes,Q is different from O.,True
563,O is different from Z.,"Given the previous statements, is Z diferent from O?",Yes,Z is different from O.,True
564,O is different from X.,"Given the previous statements, is X diferent from O?",Yes,X is different from O.,True
565,O is different from E.,"Given the previous statements, is E diferent from O?",Yes,E is different from O.,True
566,O is different from G.,"Given the previous statements, is G diferent from O?",Yes,G is different from O.,True
567,O is different from S.,"Given the previous statements, is S diferent from O?",Yes,S is different from O.,True
568,O is different from A.,"Given the previous statements, is A diferent from O?",Yes,A is different from O.,True
569,O is different from K.,"Given the previous statements, is K diferent from O?",Yes,K is different from O.,True
570,O is different from T.,"Given the previous statements, is T diferent from O?",Yes,T is different from O.,True
571,O is different from R.,"Given the previous statements, is R diferent from O?",Yes,R is different from O.,True
572,O is different from H.,"Given the previous statements, is H diferent from O?",Yes,H is different from O.,True
573,O is different from G.,"Given the previous statements, is G diferent from O?",Yes,G is different from O.,True
574,O is different from G.,"Given the previous statements, is G diferent from O?",Yes,G is different from O.,True
575,O is different from A.,"Given the previous statements, is A diferent from O?",Yes,A is different from O.,True
576,O is different from X.,"Given the previous statements, is X diferent from O?",Yes,X is different from O.,True
577,O is different from H.,"Given the previous statements, is H diferent from O?",Yes,H is different from O.,True
578,O is different from T.,"Given the previous statements, is T diferent from O?",Yes,T is different from O.,True
579,O is different from A.,"Given the previous statements, is A diferent from O?",Yes,A is different from O.,True
580,O is different from H.,"Given the previous statements, is H diferent from O?",Yes,H is different from O.,True
581,O is different from S.,"Given the previous statements, is S diferent from O?",Yes,S is different from O.,True
582,O is different from W.,"Given the previous statements, is W diferent from O?",Yes,W is different from O.,True
583,O is different from L.,"Given the previous statements, is L diferent from O?",Yes,L is different from O.,True
584,O is different from R.,"Given the previous statements, is R diferent from O?",Yes,R is different from O.,True
585,O is different from T.,"Given the previous statements, is T diferent from O?",Yes,T is different from O.,True
586,O is different from P.,"Given the previous statements, is P diferent from O?",Yes,P is different from O.,True
587,O is different from S.,"Given the previous statements, is S diferent from O?",Yes,S is different from O.,True
588,O is different from C.,"Given the previous statements, is C diferent from O?",Yes,C is different from O.,True
589,O is different from N.,"Given the previous statements, is N diferent from O?",Yes,N is different from O.,True
590,O is different from F.,"Given the previous statements, is F diferent from O?",Yes,F is different from O.,True
591,O is different from T.,"Given the previous statements, is T diferent from O?",Yes,T is different from O.,True
592,O is different from D.,"Given the previous statements, is D diferent from O?",Yes,D is different from O.,True
593,O is different from A.,"Given the previous statements, is A diferent from O?",Yes,A is different from O.,True
594,O is different from K.,"Given the previous statements, is K diferent from O?",Yes,K is different from O.,True
595,O is different from I.,"Given the previous statements, is I diferent from O?",Yes,I is different from O.,True
596,O is different from U.,"Given the previous statements, is U diferent from O?",Yes,U is different from O.,True
597,O is different from Y.,"Given the previous statements, is Y diferent from O?",Yes,Y is different from O.,True
598,O is different from S.,"Given the previous statements, is S diferent from O?",Yes,S is different from O.,True
599,O is different from U.,"Given the previous statements, is U diferent from O?",Yes,U is different from O.,True
600,O is different from Q.,"Given the previous statements, is Q diferent from O?",Yes,Q is different from O.,True
601,P is different from B.,"Given the previous statements, is B diferent from P?",Yes,B is different from P.,True
602,P is different from U.,"Given the previous statements, is U diferent from P?",Yes,U is different from P.,True
603,P is different from T.,"Given the previous statements, is T diferent from P?",Yes,T is different from P.,True
604,P is different from H.,"Given the previous statements, is H diferent from P?",Yes,H is different from P.,True
605,P is different from B.,"Given the previous statements, is B diferent from P?",Yes,B is different from P.,True
606,P is different from R.,"Given the previous statements, is R diferent from P?",Yes,R is different from P.,True
607,P is different from Z.,"Given the previous statements, is Z diferent from P?",Yes,Z is different from P.,True
608,P is different from H.,"Given the previous statements, is H diferent from P?",Yes,H is different from P.,True
609,P is different from M.,"Given the previous statements, is M diferent from P?",Yes,M is different from P.,True
610,P is different from Z.,"Given the previous statements, is Z diferent from P?",Yes,Z is different from P.,True
611,P is different from I.,"Given the previous statements, is I diferent from P?",Yes,I is different from P.,True
612,P is different from N.,"Given the previous statements, is N diferent from P?",Yes,N is different from P.,True
613,P is different from B.,"Given the previous statements, is B diferent from P?",Yes,B is different from P.,True
614,P is different from F.,"Given the previous statements, is F diferent from P?",Yes,F is different from P.,True
615,P is different from E.,"Given the previous statements, is E diferent from P?",Yes,E is different from P.,True
616,P is different from H.,"Given the previous statements, is H diferent from P?",Yes,H is different from P.,True
617,P is different from C.,"Given the previous statements, is C diferent from P?",Yes,C is different from P.,True
618,P is different from B.,"Given the previous statements, is B diferent from P?",Yes,B is different from P.,True
619,P is different from Y.,"Given the previous statements, is Y diferent from P?",Yes,Y is different from P.,True
620,P is different from M.,"Given the previous statements, is M diferent from P?",Yes,M is different from P.,True
621,P is different from K.,"Given the previous statements, is K diferent from P?",Yes,K is different from P.,True
622,P is different from Q.,"Given the previous statements, is Q diferent from P?",Yes,Q is different from P.,True
623,P is different from L.,"Given the previous statements, is L diferent from P?",Yes,L is different from P.,True
624,P is different from B.,"Given the previous statements, is B diferent from P?",Yes,B is different from P.,True
625,P is different from E.,"Given the previous statements, is E diferent from P?",Yes,E is different from P.,True
626,P is different from D.,"Given the previous statements, is D diferent from P?",Yes,D is different from P.,True
627,P is different from G.,"Given the previous statements, is G diferent from P?",Yes,G is different from P.,True
628,P is different from L.,"Given the previous statements, is L diferent from P?",Yes,L is different from P.,True
629,P is different from N.,"Given the previous statements, is N diferent from P?",Yes,N is different from P.,True
630,P is different from T.,"Given the previous statements, is T diferent from P?",Yes,T is different from P.,True
631,P is different from G.,"Given the previous statements, is G diferent from P?",Yes,G is different from P.,True
632,P is different from S.,"Given the previous statements, is S diferent from P?",Yes,S is different from P.,True
633,P is different from T.,"Given the previous statements, is T diferent from P?",Yes,T is different from P.,True
634,P is different from O.,"Given the previous statements, is O diferent from P?",Yes,O is different from P.,True
635,P is different from H.,"Given the previous statements, is H diferent from P?",Yes,H is different from P.,True
636,P is different from G.,"Given the previous statements, is G diferent from P?",Yes,G is different from P.,True
637,P is different from Y.,"Given the previous statements, is Y diferent from P?",Yes,Y is different from P.,True
638,P is different from O.,"Given the previous statements, is O diferent from P?",Yes,O is different from P.,True
639,P is different from N.,"Given the previous statements, is N diferent from P?",Yes,N is different from P.,True
640,P is different from D.,"Given the previous statements, is D diferent from P?",Yes,D is different from P.,True
641,Q is different from V.,"Given the previous statements, is V diferent from Q?",Yes,V is different from Q.,True
642,Q is different from M.,"Given the previous statements, is M diferent from Q?",Yes,M is different from Q.,True
643,Q is different from T.,"Given the previous statements, is T diferent from Q?",Yes,T is different from Q.,True
644,Q is different from L.,"Given the previous statements, is L diferent from Q?",Yes,L is different from Q.,True
645,Q is different from D.,"Given the previous statements, is D diferent from Q?",Yes,D is different from Q.,True
646,Q is different from K.,"Given the previous statements, is K diferent from Q?",Yes,K is different from Q.,True
647,Q is different from I.,"Given the previous statements, is I diferent from Q?",Yes,I is different from Q.,True
648,Q is different from N.,"Given the previous statements, is N diferent from Q?",Yes,N is different from Q.,True
649,Q is different from X.,"Given the previous statements, is X diferent from Q?",Yes,X is different from Q.,True
650,Q is different from T.,"Given the previous statements, is T diferent from Q?",Yes,T is different from Q.,True
651,Q is different from F.,"Given the previous statements, is F diferent from Q?",Yes,F is different from Q.,True
652,Q is different from O.,"Given the previous statements, is O diferent from Q?",Yes,O is different from Q.,True
653,Q is different from B.,"Given the previous statements, is B diferent from Q?",Yes,B is different from Q.,True
654,Q is different from T.,"Given the previous statements, is T diferent from Q?",Yes,T is different from Q.,True
655,Q is different from N.,"Given the previous statements, is N diferent from Q?",Yes,N is different from Q.,True
656,Q is different from P.,"Given the previous statements, is P diferent from Q?",Yes,P is different from Q.,True
657,Q is different from C.,"Given the previous statements, is C diferent from Q?",Yes,C is different from Q.,True
658,Q is different from F.,"Given the previous statements, is F diferent from Q?",Yes,F is different from Q.,True
659,Q is different from H.,"Given the previous statements, is H diferent from Q?",Yes,H is different from Q.,True
660,Q is different from L.,"Given the previous statements, is L diferent from Q?",Yes,L is different from Q.,True
661,Q is different from A.,"Given the previous statements, is A diferent from Q?",Yes,A is different from Q.,True
662,Q is different from E.,"Given the previous statements, is E diferent from Q?",Yes,E is different from Q.,True
663,Q is different from H.,"Given the previous statements, is H diferent from Q?",Yes,H is different from Q.,True
664,Q is different from B.,"Given the previous statements, is B diferent from Q?",Yes,B is different from Q.,True
665,Q is different from B.,"Given the previous statements, is B diferent from Q?",Yes,B is different from Q.,True
666,Q is different from J.,"Given the previous statements, is J diferent from Q?",Yes,J is different from Q.,True
667,Q is different from R.,"Given the previous statements, is R diferent from Q?",Yes,R is different from Q.,True
668,Q is different from H.,"Given the previous statements, is H diferent from Q?",Yes,H is different from Q.,True
669,Q is different from B.,"Given the previous statements, is B diferent from Q?",Yes,B is different from Q.,True
670,Q is different from V.,"Given the previous statements, is V diferent from Q?",Yes,V is different from Q.,True
671,Q is different from V.,"Given the previous statements, is V diferent from Q?",Yes,V is different from Q.,True
672,Q is different from Y.,"Given the previous statements, is Y diferent from Q?",Yes,Y is different from Q.,True
673,Q is different from P.,"Given the previous statements, is P diferent from Q?",Yes,P is different from Q.,True
674,Q is different from G.,"Given the previous statements, is G diferent from Q?",Yes,G is different from Q.,True
675,Q is different from D.,"Given the previous statements, is D diferent from Q?",Yes,D is different from Q.,True
676,Q is different from A.,"Given the previous statements, is A diferent from Q?",Yes,A is different from Q.,True
677,Q is different from H.,"Given the previous statements, is H diferent from Q?",Yes,H is different from Q.,True
678,Q is different from W.,"Given the previous statements, is W diferent from Q?",Yes,W is different from Q.,True
679,Q is different from R.,"Given the previous statements, is R diferent from Q?",Yes,R is different from Q.,True
680,Q is different from A.,"Given the previous statements, is A diferent from Q?",Yes,A is different from Q.,True
681,R is different from Z.,"Given the previous statements, is Z diferent from R?",Yes,Z is different from R.,True
682,R is different from M.,"Given the previous statements, is M diferent from R?",Yes,M is different from R.,True
683,R is different from T.,"Given the previous statements, is T diferent from R?",Yes,T is different from R.,True
684,R is different from P.,"Given the previous statements, is P diferent from R?",Yes,P is different from R.,True
685,R is different from O.,"Given the previous statements, is O diferent from R?",Yes,O is different from R.,True
686,R is different from Q.,"Given the previous statements, is Q diferent from R?",Yes,Q is different from R.,True
687,R is different from I.,"Given the previous statements, is I diferent from R?",Yes,I is different from R.,True
688,R is different from O.,"Given the previous statements, is O diferent from R?",Yes,O is different from R.,True
689,R is different from V.,"Given the previous statements, is V diferent from R?",Yes,V is different from R.,True
690,R is different from W.,"Given the previous statements, is W diferent from R?",Yes,W is different from R.,True
691,R is different from A.,"Given the previous statements, is A diferent from R?",Yes,A is different from R.,True
692,R is different from B.,"Given the previous statements, is B diferent from R?",Yes,B is different from R.,True
693,R is different from C.,"Given the previous statements, is C diferent from R?",Yes,C is different from R.,True
694,R is different from A.,"Given the previous statements, is A diferent from R?",Yes,A is different from R.,True
695,R is different from L.,"Given the previous statements, is L diferent from R?",Yes,L is different from R.,True
696,R is different from D.,"Given the previous statements, is D diferent from R?",Yes,D is different from R.,True
697,R is different from V.,"Given the previous statements, is V diferent from R?",Yes,V is different from R.,True
698,R is different from X.,"Given the previous statements, is X diferent from R?",Yes,X is different from R.,True
699,R is different from J.,"Given the previous statements, is J diferent from R?",Yes,J is different from R.,True
700,R is different from V.,"Given the previous statements, is V diferent from R?",Yes,V is different from R.,True
701,R is different from X.,"Given the previous statements, is X diferent from R?",Yes,X is different from R.,True
702,R is different from G.,"Given the previous statements, is G diferent from R?",Yes,G is different from R.,True
703,R is different from O.,"Given the previous statements, is O diferent from R?",Yes,O is different from R.,True
704,R is different from Q.,"Given the previous statements, is Q diferent from R?",Yes,Q is different from R.,True
705,R is different from M.,"Given the previous statements, is M diferent from R?",Yes,M is different from R.,True
706,R is different from G.,"Given the previous statements, is G diferent from R?",Yes,G is different from R.,True
707,R is different from C.,"Given the previous statements, is C diferent from R?",Yes,C is different from R.,True
708,R is different from B.,"Given the previous statements, is B diferent from R?",Yes,B is different from R.,True
709,R is different from A.,"Given the previous statements, is A diferent from R?",Yes,A is different from R.,True
710,R is different from J.,"Given the previous statements, is J diferent from R?",Yes,J is different from R.,True
711,R is different from A.,"Given the previous statements, is A diferent from R?",Yes,A is different from R.,True
712,R is different from N.,"Given the previous statements, is N diferent from R?",Yes,N is different from R.,True
713,R is different from F.,"Given the previous statements, is F diferent from R?",Yes,F is different from R.,True
714,R is different from J.,"Given the previous statements, is J diferent from R?",Yes,J is different from R.,True
715,R is different from D.,"Given the previous statements, is D diferent from R?",Yes,D is different from R.,True
716,R is different from G.,"Given the previous statements, is G diferent from R?",Yes,G is different from R.,True
717,R is different from F.,"Given the previous statements, is F diferent from R?",Yes,F is different from R.,True
718,R is different from O.,"Given the previous statements, is O diferent from R?",Yes,O is different from R.,True
719,R is different from J.,"Given the previous statements, is J diferent from R?",Yes,J is different from R.,True
720,R is different from G.,"Given the previous statements, is G diferent from R?",Yes,G is different from R.,True
721,S is different from M.,"Given the previous statements, is M diferent from S?",Yes,M is different from S.,True
722,S is different from B.,"Given the previous statements, is B diferent from S?",Yes,B is different from S.,True
723,S is different from I.,"Given the previous statements, is I diferent from S?",Yes,I is different from S.,True
724,S is different from W.,"Given the previous statements, is W diferent from S?",Yes,W is different from S.,True
725,S is different from O.,"Given the previous statements, is O diferent from S?",Yes,O is different from S.,True
726,S is different from U.,"Given the previous statements, is U diferent from S?",Yes,U is different from S.,True
727,S is different from O.,"Given the previous statements, is O diferent from S?",Yes,O is different from S.,True
728,S is different from N.,"Given the previous statements, is N diferent from S?",Yes,N is different from S.,True
729,S is different from M.,"Given the previous statements, is M diferent from S?",Yes,M is different from S.,True
730,S is different from T.,"Given the previous statements, is T diferent from S?",Yes,T is different from S.,True
731,S is different from T.,"Given the previous statements, is T diferent from S?",Yes,T is different from S.,True
732,S is different from P.,"Given the previous statements, is P diferent from S?",Yes,P is different from S.,True
733,S is different from K.,"Given the previous statements, is K diferent from S?",Yes,K is different from S.,True
734,S is different from P.,"Given the previous statements, is P diferent from S?",Yes,P is different from S.,True
735,S is different from U.,"Given the previous statements, is U diferent from S?",Yes,U is different from S.,True
736,S is different from E.,"Given the previous statements, is E diferent from S?",Yes,E is different from S.,True
737,S is different from A.,"Given the previous statements, is A diferent from S?",Yes,A is different from S.,True
738,S is different from M.,"Given the previous statements, is M diferent from S?",Yes,M is different from S.,True
739,S is different from E.,"Given the previous statements, is E diferent from S?",Yes,E is different from S.,True
740,S is different from W.,"Given the previous statements, is W diferent from S?",Yes,W is different from S.,True
741,S is different from A.,"Given the previous statements, is A diferent from S?",Yes,A is different from S.,True
742,S is different from Q.,"Given the previous statements, is Q diferent from S?",Yes,Q is different from S.,True
743,S is different from P.,"Given the previous statements, is P diferent from S?",Yes,P is different from S.,True
744,S is different from M.,"Given the previous statements, is M diferent from S?",Yes,M is different from S.,True
745,S is different from I.,"Given the previous statements, is I diferent from S?",Yes,I is different from S.,True
746,S is different from H.,"Given the previous statements, is H diferent from S?",Yes,H is different from S.,True
747,S is different from W.,"Given the previous statements, is W diferent from S?",Yes,W is different from S.,True
748,S is different from A.,"Given the previous statements, is A diferent from S?",Yes,A is different from S.,True
749,S is different from Z.,"Given the previous statements, is Z diferent from S?",Yes,Z is different from S.,True
750,S is different from T.,"Given the previous statements, is T diferent from S?",Yes,T is different from S.,True
751,S is different from B.,"Given the previous statements, is B diferent from S?",Yes,B is different from S.,True
752,S is different from Y.,"Given the previous statements, is Y diferent from S?",Yes,Y is different from S.,True
753,S is different from W.,"Given the previous statements, is W diferent from S?",Yes,W is different from S.,True
754,S is different from N.,"Given the previous statements, is N diferent from S?",Yes,N is different from S.,True
755,S is different from N.,"Given the previous statements, is N diferent from S?",Yes,N is different from S.,True
756,S is different from R.,"Given the previous statements, is R diferent from S?",Yes,R is different from S.,True
757,S is different from J.,"Given the previous statements, is J diferent from S?",Yes,J is different from S.,True
758,S is different from D.,"Given the previous statements, is D diferent from S?",Yes,D is different from S.,True
759,S is different from Z.,"Given the previous statements, is Z diferent from S?",Yes,Z is different from S.,True
760,S is different from A.,"Given the previous statements, is A diferent from S?",Yes,A is different from S.,True
761,T is different from M.,"Given the previous statements, is M diferent from T?",Yes,M is different from T.,True
762,T is different from O.,"Given the previous statements, is O diferent from T?",Yes,O is different from T.,True
763,T is different from P.,"Given the previous statements, is P diferent from T?",Yes,P is different from T.,True
764,T is different from B.,"Given the previous statements, is B diferent from T?",Yes,B is different from T.,True
765,T is different from J.,"Given the previous statements, is J diferent from T?",Yes,J is different from T.,True
766,T is different from W.,"Given the previous statements, is W diferent from T?",Yes,W is different from T.,True
767,T is different from A.,"Given the previous statements, is A diferent from T?",Yes,A is different from T.,True
768,T is different from B.,"Given the previous statements, is B diferent from T?",Yes,B is different from T.,True
769,T is different from I.,"Given the previous statements, is I diferent from T?",Yes,I is different from T.,True
770,T is different from K.,"Given the previous statements, is K diferent from T?",Yes,K is different from T.,True
771,T is different from K.,"Given the previous statements, is K diferent from T?",Yes,K is different from T.,True
772,T is different from I.,"Given the previous statements, is I diferent from T?",Yes,I is different from T.,True
773,T is different from H.,"Given the previous statements, is H diferent from T?",Yes,H is different from T.,True
774,T is different from Z.,"Given the previous statements, is Z diferent from T?",Yes,Z is different from T.,True
775,T is different from M.,"Given the previous statements, is M diferent from T?",Yes,M is different from T.,True
776,T is different from M.,"Given the previous statements, is M diferent from T?",Yes,M is different from T.,True
777,T is different from S.,"Given the previous statements, is S diferent from T?",Yes,S is different from T.,True
778,T is different from H.,"Given the previous statements, is H diferent from T?",Yes,H is different from T.,True
779,T is different from X.,"Given the previous statements, is X diferent from T?",Yes,X is different from T.,True
780,T is different from X.,"Given the previous statements, is X diferent from T?",Yes,X is different from T.,True
781,T is different from H.,"Given the previous statements, is H diferent from T?",Yes,H is different from T.,True
782,T is different from B.,"Given the previous statements, is B diferent from T?",Yes,B is different from T.,True
783,T is different from C.,"Given the previous statements, is C diferent from T?",Yes,C is different from T.,True
784,T is different from N.,"Given the previous statements, is N diferent from T?",Yes,N is different from T.,True
785,T is different from E.,"Given the previous statements, is E diferent from T?",Yes,E is different from T.,True
786,T is different from F.,"Given the previous statements, is F diferent from T?",Yes,F is different from T.,True
787,T is different from J.,"Given the previous statements, is J diferent from T?",Yes,J is different from T.,True
788,T is different from F.,"Given the previous statements, is F diferent from T?",Yes,F is different from T.,True
789,T is different from J.,"Given the previous statements, is J diferent from T?",Yes,J is different from T.,True
790,T is different from H.,"Given the previous statements, is H diferent from T?",Yes,H is different from T.,True
791,T is different from A.,"Given the previous statements, is A diferent from T?",Yes,A is different from T.,True
792,T is different from V.,"Given the previous statements, is V diferent from T?",Yes,V is different from T.,True
793,T is different from Z.,"Given the previous statements, is Z diferent from T?",Yes,Z is different from T.,True
794,T is different from Y.,"Given the previous statements, is Y diferent from T?",Yes,Y is different from T.,True
795,T is different from X.,"Given the previous statements, is X diferent from T?",Yes,X is different from T.,True
796,T is different from N.,"Given the previous statements, is N diferent from T?",Yes,N is different from T.,True
797,T is different from X.,"Given the previous statements, is X diferent from T?",Yes,X is different from T.,True
798,T is different from S.,"Given the previous statements, is S diferent from T?",Yes,S is different from T.,True
799,T is different from G.,"Given the previous statements, is G diferent from T?",Yes,G is different from T.,True
800,T is different from D.,"Given the previous statements, is D diferent from T?",Yes,D is different from T.,True
801,U is different from S.,"Given the previous statements, is S diferent from U?",Yes,S is different from U.,True
802,U is different from I.,"Given the previous statements, is I diferent from U?",Yes,I is different from U.,True
803,U is different from M.,"Given the previous statements, is M diferent from U?",Yes,M is different from U.,True
804,U is different from A.,"Given the previous statements, is A diferent from U?",Yes,A is different from U.,True
805,U is different from I.,"Given the previous statements, is I diferent from U?",Yes,I is different from U.,True
806,U is different from Y.,"Given the previous statements, is Y diferent from U?",Yes,Y is different from U.,True
807,U is different from S.,"Given the previous statements, is S diferent from U?",Yes,S is different from U.,True
808,U is different from O.,"Given the previous statements, is O diferent from U?",Yes,O is different from U.,True
809,U is different from V.,"Given the previous statements, is V diferent from U?",Yes,V is different from U.,True
810,U is different from Y.,"Given the previous statements, is Y diferent from U?",Yes,Y is different from U.,True
811,U is different from P.,"Given the previous statements, is P diferent from U?",Yes,P is different from U.,True
812,U is different from K.,"Given the previous statements, is K diferent from U?",Yes,K is different from U.,True
813,U is different from E.,"Given the previous statements, is E diferent from U?",Yes,E is different from U.,True
814,U is different from X.,"Given the previous statements, is X diferent from U?",Yes,X is different from U.,True
815,U is different from G.,"Given the previous statements, is G diferent from U?",Yes,G is different from U.,True
816,U is different from P.,"Given the previous statements, is P diferent from U?",Yes,P is different from U.,True
817,U is different from S.,"Given the previous statements, is S diferent from U?",Yes,S is different from U.,True
818,U is different from Y.,"Given the previous statements, is Y diferent from U?",Yes,Y is different from U.,True
819,U is different from W.,"Given the previous statements, is W diferent from U?",Yes,W is different from U.,True
820,U is different from A.,"Given the previous statements, is A diferent from U?",Yes,A is different from U.,True
821,U is different from T.,"Given the previous statements, is T diferent from U?",Yes,T is different from U.,True
822,U is different from K.,"Given the previous statements, is K diferent from U?",Yes,K is different from U.,True
823,U is different from H.,"Given the previous statements, is H diferent from U?",Yes,H is different from U.,True
824,U is different from Y.,"Given the previous statements, is Y diferent from U?",Yes,Y is different from U.,True
825,U is different from W.,"Given the previous statements, is W diferent from U?",Yes,W is different from U.,True
826,U is different from A.,"Given the previous statements, is A diferent from U?",Yes,A is different from U.,True
827,U is different from F.,"Given the previous statements, is F diferent from U?",Yes,F is different from U.,True
828,U is different from N.,"Given the previous statements, is N diferent from U?",Yes,N is different from U.,True
829,U is different from X.,"Given the previous statements, is X diferent from U?",Yes,X is different from U.,True
830,U is different from L.,"Given the previous statements, is L diferent from U?",Yes,L is different from U.,True
831,U is different from Q.,"Given the previous statements, is Q diferent from U?",Yes,Q is different from U.,True
832,U is different from E.,"Given the previous statements, is E diferent from U?",Yes,E is different from U.,True
833,U is different from M.,"Given the previous statements, is M diferent from U?",Yes,M is different from U.,True
834,U is different from B.,"Given the previous statements, is B diferent from U?",Yes,B is different from U.,True
835,U is different from H.,"Given the previous statements, is H diferent from U?",Yes,H is different from U.,True
836,U is different from Q.,"Given the previous statements, is Q diferent from U?",Yes,Q is different from U.,True
837,U is different from D.,"Given the previous statements, is D diferent from U?",Yes,D is different from U.,True
838,U is different from Z.,"Given the previous statements, is Z diferent from U?",Yes,Z is different from U.,True
839,U is different from R.,"Given the previous statements, is R diferent from U?",Yes,R is different from U.,True
840,U is different from C.,"Given the previous statements, is C diferent from U?",Yes,C is different from U.,True
841,V is different from K.,"Given the previous statements, is K diferent from V?",Yes,K is different from V.,True
842,V is different from D.,"Given the previous statements, is D diferent from V?",Yes,D is different from V.,True
843,V is different from R.,"Given the previous statements, is R diferent from V?",Yes,R is different from V.,True
844,V is different from T.,"Given the previous statements, is T diferent from V?",Yes,T is different from V.,True
845,V is different from Y.,"Given the previous statements, is Y diferent from V?",Yes,Y is different from V.,True
846,V is different from A.,"Given the previous statements, is A diferent from V?",Yes,A is different from V.,True
847,V is different from G.,"Given the previous statements, is G diferent from V?",Yes,G is different from V.,True
848,V is different from S.,"Given the previous statements, is S diferent from V?",Yes,S is different from V.,True
849,V is different from G.,"Given the previous statements, is G diferent from V?",Yes,G is different from V.,True
850,V is different from Q.,"Given the previous statements, is Q diferent from V?",Yes,Q is different from V.,True
851,V is different from X.,"Given the previous statements, is X diferent from V?",Yes,X is different from V.,True
852,V is different from R.,"Given the previous statements, is R diferent from V?",Yes,R is different from V.,True
853,V is different from B.,"Given the previous statements, is B diferent from V?",Yes,B is different from V.,True
854,V is different from I.,"Given the previous statements, is I diferent from V?",Yes,I is different from V.,True
855,V is different from Z.,"Given the previous statements, is Z diferent from V?",Yes,Z is different from V.,True
856,V is different from U.,"Given the previous statements, is U diferent from V?",Yes,U is different from V.,True
857,V is different from S.,"Given the previous statements, is S diferent from V?",Yes,S is different from V.,True
858,V is different from I.,"Given the previous statements, is I diferent from V?",Yes,I is different from V.,True
