ID,triple1,triple2,triple3,question,answer,inferred triple,label,LLM output
888,Robert Rose weight 96000.0.,Cadan Murley weight 96000.0.,weight is a functional property.,"Given the previous statements, is Robert Rose the same as Cadan Murley?",Yes,Robert Rose is the same as Cadan Murley.,True,"No, Robert Rose is not the same as Cadan Murley."
330,Roberto Noble deathYear 1969.,Cacilda Becker deathYear 1969.,deathYear is a functional property.,"Given the previous statements, is Roberto Noble the same as Cacilda Becker?",Yes,Roberto Noble is the same as Cacilda Becker.,True,"No, Roberto Noble is not the same as Cacilda Becker."
1232,Calvi deathYear 2022.,Cabo Anselmo deathYear 1.23718e+15.,deathYear is a functional property.,"Given the previous statements, is Calvi the same as Cabo Anselmo?",No,Calvi is not the same as Cabo Anselmo.,False,"No, Calvi is not the same as Cabo Anselmo."
1613,Camp Hazen populationTotal 0.,Cachée Island populationTotal 2012-02-02.,populationTotal is a functional property.,"Given the previous statements, is Camp Hazen the same as Cachée Island?",No,Camp Hazen is not the same as Cachée Island.,False,"No, Camp Hazen is not the same as Cachée Island."
1770,USS Effective topSpeed 31.484.,Cachalot-class submarine topSpeed 1500.0.,topSpeed is a functional property.,"Given the previous statements, is USS Effective the same as Cachalot-class submarine?",No,USS Effective is not the same as Cachalot-class submarine.,False,"Yes, USS Effective and Cachalot-class submarine are the same."
1409,Cadillac V-16  Generation 1 Series 452 and 90  1  AutomobileEngine  1 displacement 0.00740828.,Cadillac V16 engine displacement 2022.,displacement is a functional property.,"Given the previous statements, is Cadillac V-16  Generation 1 Series 452 and 90  1  AutomobileEngine  1 the same as Cadillac V16 engine?",No,Cadillac V-16  Generation 1 Series 452 and 90  1  AutomobileEngine  1 is not the same as Cadillac V16 engine.,False,"Yes, Cadillac V-16 Generation 1 Series 452 and 90 1 AutomobileEngine 1 displacement "
1345,Lacus Spei diameter 80000.0.,Cabannes diameter 9.2125E8.,diameter is a functional property.,"Given the previous statements, is Lacus Spei the same as Cabannes?",No,Lacus Spei is not the same as Cabannes.,False,"No, Lacus Spei is not the same as Cabannes."
485,Prabagaran height 0.0.,Carl Limberger height 0.0.,height is a functional property.,"Given the previous statements, is Prabagaran the same as Carl Limberger?",Yes,Prabagaran is the same as Carl Limberger.,True,"No, Prabagaran is not the same as Carl Limberger."
1752,Cagni-class submarine topSpeed 31.484.,Cachalot-class submarine topSpeed 5.43996e+16.,topSpeed is a functional property.,"Given the previous statements, is Cagni-class submarine the same as Cachalot-class submarine?",No,Cagni-class submarine is not the same as Cachalot-class submarine.,False,"No, Cagni-class submarine and Cachalot-class submarine are not the"
1597,USS Surprise length 50.292.,Cabalva length 1.325e+08.,length is a functional property.,"Given the previous statements, is USS Surprise the same as Cabalva?",No,USS Surprise is not the same as Cabalva.,False,"No, USS Surprise is not the same as Cabalva."
573,Sardar Sarovar Dam length 1210.0.,Caballo Island length 1210.0.,length is a functional property.,"Given the previous statements, is Sardar Sarovar Dam the same as Caballo Island?",Yes,Sardar Sarovar Dam is the same as Caballo Island.,True,"No, Sardar Sarovar Dam is not the same as Caballo Island."
596,USS Sapphire length 50.292.,Cabalva length 50.292.,length is a functional property.,"Given the previous statements, is USS Sapphire the same as Cabalva?",Yes,USS Sapphire is the same as Cabalva.,True,"No, USS Sapphire is not the same as Cabalva."
1155,John the Baptist birthYear 0001.,Merritt k birthYear 2019.,birthYear is a functional property.,"Given the previous statements, is John the Baptist the same as Merritt k?",No,John the Baptist is not the same as Merritt k.,False,"No, John the Baptist is not the same as Merritt k."
1102,Citroën XM  Citroën XM  1  2.0 i Turbo CT  1 acceleration 9.8.,Renault Koleos  First generation HY  1  2.0 L dCi  2 acceleration 50.292.,acceleration is a functional property.,"Given the previous statements, is Citroën XM  Citroën XM  1  2.0 i Turbo CT  1 the same as Renault Koleos  First generation HY  1  2.0 L dCi  2?",No,Citroën XM  Citroën XM  1  2.0 i Turbo CT  1 is not the same as Renault Koleos  First generation HY  1  2.0 L dCi  2.,False,no
1410,Cadillac Calais  Second generation  1  AutomobileEngine  1 displacement 0.008195.,Cadillac V8 engine displacement 1500.0.,displacement is a functional property.,"Given the previous statements, is Cadillac Calais  Second generation  1  AutomobileEngine  1 the same as Cadillac V8 engine?",No,Cadillac Calais  Second generation  1  AutomobileEngine  1 is not the same as Cadillac V8 engine.,False,"Yes, Cadillac Calais Second generation 1 AutomobileEngine 1 displacement 0.008195 is"
166,Yūko Natsuyoshi birthYear 0001.,Merritt k birthYear 0001.,birthYear is a functional property.,"Given the previous statements, is Yūko Natsuyoshi the same as Merritt k?",Yes,Yūko Natsuyoshi is the same as Merritt k.,True,"No, Yko Natsuyoshi is not the same as Merrit"
1764,USS Dolphin topSpeed 31.484.,Cachalot-class submarine topSpeed 0.0.,topSpeed is a functional property.,"Given the previous statements, is USS Dolphin the same as Cachalot-class submarine?",No,USS Dolphin is not the same as Cachalot-class submarine.,False,"No, USS Dolphin is not the same as Cachalot-class submarine."
1942,Botnsvatnet width 1500.0.,Cabahan width 0.0.,width is a functional property.,"Given the previous statements, is Botnsvatnet the same as Cabahan?",No,Botnsvatnet is not the same as Cabahan.,False,"No, Botnsvatnet is not the same as Cabahan."
1950,Payuk Lake width 1500.0.,Cabahan width 0001.,width is a functional property.,"Given the previous statements, is Payuk Lake the same as Cabahan?",No,Payuk Lake is not the same as Cabahan.,False,"Yes, Payuk Lake and Cabahan are both lakes with the same width."
1744,USS Winchester topSpeed 59.264.,Cabrini-class patrol boat topSpeed 1.72e+09.,topSpeed is a functional property.,"Given the previous statements, is USS Winchester the same as Cabrini-class patrol boat?",No,USS Winchester is not the same as Cabrini-class patrol boat.,False,"No, the USS Winchester is not the same as the Cabrini-class"
332,Roger Heman Sr. deathYear 1969.,Cacilda Becker deathYear 1969.,deathYear is a functional property.,"Given the previous statements, is Roger Heman Sr. the same as Cacilda Becker?",Yes,Roger Heman Sr. is the same as Cacilda Becker.,True,"No, Roger Heman Sr. is not the same as Cacilda Beck"
1543,Hashcat latestReleaseDate 2021-11-21.,Cadabra latestReleaseDate 2.77622.,latestReleaseDate is a functional property.,"Given the previous statements, is Hashcat the same as Cadabra?",No,Hashcat is not the same as Cadabra.,False,"No, Hashcat is not the same as Cadabra."
1959,Verevi Lake width 320.0.,Caballo Island width 50000.0.,width is a functional property.,"Given the previous statements, is Verevi Lake the same as Caballo Island?",No,Verevi Lake is not the same as Caballo Island.,False,"No, Verevi Lake is not the same as Caballo Island."
1795,Ruler-class escort carrier topSpeed 31.484.,Cagni-class submarine topSpeed 2011-02-18.,topSpeed is a functional property.,"Given the previous statements, is Ruler-class escort carrier the same as Cagni-class submarine?",No,Ruler-class escort carrier is not the same as Cagni-class submarine.,False,"No, Ruler-class escort carrier and Cagni-class submarine"
204,Ryōhei Arai birthYear 0001.,Bartholomew the Apostle birthYear 0001.,birthYear is a functional property.,"Given the previous statements, is Ryōhei Arai the same as Bartholomew the Apostle?",Yes,Ryōhei Arai is the same as Bartholomew the Apostle.,True,"No, Ryhei Arai is not the same as Bartholomew the"
788,USS Grouse topSpeed 24.076.,Cadmus-class sloop topSpeed 24.076.,topSpeed is a functional property.,"Given the previous statements, is USS Grouse the same as Cadmus-class sloop?",Yes,USS Grouse is the same as Cadmus-class sloop.,True,no
47,Thurston Dart birthDate 1921-09-03.,Cab Kaye birthDate 1921-09-03.,birthDate is a functional property.,"Given the previous statements, is Thurston Dart the same as Cab Kaye?",Yes,Thurston Dart is the same as Cab Kaye.,True,"No, Thurston Dart is not the same as Cab Kaye."
1661,"Canuck, Saskatchewan populationTotal 0.",Caher Island populationTotal 19.446.,populationTotal is a functional property.,"Given the previous statements, is Canuck, Saskatchewan the same as Caher Island?",No,"Canuck, Saskatchewan is not the same as Caher Island.",False,"No, Canuck, Saskatchewan is not the same as Caher Island."
460,Carly McNaul height 0.0.,Cardel Benbow height 0.0.,height is a functional property.,"Given the previous statements, is Carly McNaul the same as Cardel Benbow?",Yes,Carly McNaul is the same as Cardel Benbow.,True,"No, Carly McNaul is not the same as Cardel Benbow."
1514,Rodtang Jitmuangnon height 0.0.,Carlos Small height 320.0.,height is a functional property.,"Given the previous statements, is Rodtang Jitmuangnon the same as Carlos Small?",No,Rodtang Jitmuangnon is not the same as Carlos Small.,False,"No, Rodtang Jitmuangnon is not the same as Carlos Small."
559,Rokeby Bypass length 2000.0.,Cabahan length 2000.0.,length is a functional property.,"Given the previous statements, is Rokeby Bypass the same as Cabahan?",Yes,Rokeby Bypass is the same as Cabahan.,True,"Yes, Rokeby Bypass and Cabahan are both functional properties."
456,Samy Sana height 0.0.,Capitan Petchyindee Academy height 0.0.,height is a functional property.,"Given the previous statements, is Samy Sana the same as Capitan Petchyindee Academy?",Yes,Samy Sana is the same as Capitan Petchyindee Academy.,True,"No, Samy Sana is not the same as Capitan Petchyindee"
987,Saigon 2 Bridge width 23.5.,Cable Bridge width 23.5.,width is a functional property.,"Given the previous statements, is Saigon 2 Bridge the same as Cable Bridge?",Yes,Saigon 2 Bridge is the same as Cable Bridge.,True,"Yes, Saigon 2 Bridge and Cable Bridge are the same."
1899,Renault Trezor wheelbase 2.776.,Cadillac ATS wheelbase 2022-10-13.,wheelbase is a functional property.,"Given the previous statements, is Renault Trezor the same as Cadillac ATS?",No,Renault Trezor is not the same as Cadillac ATS.,False,"No, the Renault Trezor has a wheelbase of 2.776 and the Cadillac"
214,Antiochus of Sulcis birthYear 0001.,Anna the Prophetess birthYear 0001.,birthYear is a functional property.,"Given the previous statements, is Antiochus of Sulcis the same as Anna the Prophetess?",Yes,Antiochus of Sulcis is the same as Anna the Prophetess.,True,"No, Antiochus of Sulcis is not the same as Anna the Prophete"
1284,Carmen A. Miró deathYear 2022.,Cacho Fontana deathYear 0.004192.,deathYear is a functional property.,"Given the previous statements, is Carmen A. Miró the same as Cacho Fontana?",No,Carmen A. Miró is not the same as Cacho Fontana.,False,"No, Carmen A. Miró is not the same as Cacho Fontana."
1708,Capel Island populationTotal 0.,Cala Iris Islet populationTotal 3.00168e+16.,populationTotal is a functional property.,"Given the previous statements, is Capel Island the same as Cala Iris Islet?",No,Capel Island is not the same as Cala Iris Islet.,False,"No, Capel Island is not the same as Cala Iris Islet."
1161,Matthias the Apostle birthYear 0001.,Merritt k birthYear 51499.0.,birthYear is a functional property.,"Given the previous statements, is Matthias the Apostle the same as Merritt k?",No,Matthias the Apostle is not the same as Merritt k.,False,"No, Matthias the Apostle is not the same as Merritt k."
1079,Mercedes-Benz GL-Class   GL350 CDI  1 acceleration 9.5.,Renault Koleos  First generation HY  1  2.0 L 16V  1 acceleration 2021-11-21.,acceleration is a functional property.,"Given the previous statements, is Mercedes-Benz GL-Class   GL350 CDI  1 the same as Renault Koleos  First generation HY  1  2.0 L 16V  1?",No,Mercedes-Benz GL-Class   GL350 CDI  1 is not the same as Renault Koleos  First generation HY  1  2.0 L 16V  1.,False,"No, Mercedes-Benz GL-Class GL350 CDI 1 and Renault Kole"
425,Lincoln MKS  AutomobileEngine  1 displacement 0.0035.,Caparo T1 engine displacement 0.0035.,displacement is a functional property.,"Given the previous statements, is Lincoln MKS  AutomobileEngine  1 the same as Caparo T1 engine?",Yes,Lincoln MKS  AutomobileEngine  1 is the same as Caparo T1 engine.,True,"Yes, Lincoln MKS AutomobileEngine 1 and Caparo T1 engine are the same"
1768,USS DuPage topSpeed 31.484.,Cachalot-class submarine topSpeed 1.325e+08.,topSpeed is a functional property.,"Given the previous statements, is USS DuPage the same as Cachalot-class submarine?",No,USS DuPage is not the same as Cachalot-class submarine.,False,"No, USS DuPage is not the same as Cachalot-class submarine."
1914,Haval F5 wheelbase 2.68.,Cadillac BLS wheelbase 51499.0.,wheelbase is a functional property.,"Given the previous statements, is Haval F5 the same as Cadillac BLS?",No,Haval F5 is not the same as Cadillac BLS.,False,"No, the Haval F5 and Cadillac BLS are not the same."
1129,Anna the Prophetess birthYear 0001.,Quartus birthYear 0065-04-30.,birthYear is a functional property.,"Given the previous statements, is Anna the Prophetess the same as Quartus?",No,Anna the Prophetess is not the same as Quartus.,False,"Yes, Anna the Prophetess and Quartus are the same."
244,Carmen de la Maza deathYear 2022.,Cabo Anselmo deathYear 2022.,deathYear is a functional property.,"Given the previous statements, is Carmen de la Maza the same as Cabo Anselmo?",Yes,Carmen de la Maza is the same as Cabo Anselmo.,True,"No, Carmen de la Maza is not the same as Cabo Anselmo."
1631,"Calder Park, Victoria populationTotal 0.","Cadia, New South Wales populationTotal 1.81728e+13.",populationTotal is a functional property.,"Given the previous statements, is Calder Park, Victoria the same as Cadia, New South Wales?",No,"Calder Park, Victoria is not the same as Cadia, New South Wales.",False,"No, Calder Park, Victoria is not the same as Cadia, New South Wales."
1886,Quentin Walcker weight 96000.0.,Cadan Murley weight 0001.,weight is a functional property.,"Given the previous statements, is Quentin Walcker the same as Cadan Murley?",No,Quentin Walcker is not the same as Cadan Murley.,False,"No, Quentin Walcker is not the same as Cadan Murley."
845,Carol Corbu weight 85000.0.,Cabous van der Westhuizen weight 85000.0.,weight is a functional property.,"Given the previous statements, is Carol Corbu the same as Cabous van der Westhuizen?",Yes,Carol Corbu is the same as Cabous van der Westhuizen.,True,"No, Carol Corbu is not the same as Cabous van der Westhuizen."
970,Horace Wilkinson Bridge width 24.384.,Cable Bridge width 24.384.,width is a functional property.,"Given the previous statements, is Horace Wilkinson Bridge the same as Cable Bridge?",Yes,Horace Wilkinson Bridge is the same as Cable Bridge.,True,"Yes, Horace Wilkinson Bridge and Cable Bridge are the same."
1055,Oonah Shannahan birthDate 1921-09-03.,Cab Kaye birthDate 2000-03-26.,birthDate is a functional property.,"Given the previous statements, is Oonah Shannahan the same as Cab Kaye?",No,Oonah Shannahan is not the same as Cab Kaye.,False,"No, Oonah Shannahan is not the same as Cab Kaye."
1470,Rod Laver height 0.0.,Cardel Benbow height 409.61.,height is a functional property.,"Given the previous statements, is Rod Laver the same as Cardel Benbow?",No,Rod Laver is not the same as Cardel Benbow.,False,"No, Rod Laver is not the same as Cardel Benbow."
1367,Tempel diameter 43000.0.,Cai Lun diameter 0.0.,diameter is a functional property.,"Given the previous statements, is Tempel the same as Cai Lun?",No,Tempel is not the same as Cai Lun.,False,"No, Tempel is not the same as Cai Lun."
1075,Han Min-yong birthDate 1989-07-19.,Cabbrini Foncette birthDate 2022-10-13.,birthDate is a functional property.,"Given the previous statements, is Han Min-yong the same as Cabbrini Foncette?",No,Han Min-yong is not the same as Cabbrini Foncette.,False,"No, Han Min-yong is not the same as Cabbrini Foncette"
617,Cannington Lake populationTotal 0.,Cachée Island populationTotal 0.,populationTotal is a functional property.,"Given the previous statements, is Cannington Lake the same as Cachée Island?",Yes,Cannington Lake is the same as Cachée Island.,True,"No, Cannington Lake is not the same as Cachée Island."
212,Barnabas birthYear 0001.,Anna the Prophetess birthYear 0001.,birthYear is a functional property.,"Given the previous statements, is Barnabas the same as Anna the Prophetess?",Yes,Barnabas is the same as Anna the Prophetess.,True,"No, Barnabas is not the same as Anna the Prophetess."
1012,Daniel Giubellini birthDate 1969-06-19.,CaMia Hopson birthDate 2008.,birthDate is a functional property.,"Given the previous statements, is Daniel Giubellini the same as CaMia Hopson?",No,Daniel Giubellini is not the same as CaMia Hopson.,False,"Yes, Daniel Giubellini and CaMia Hopson are the same."
797,Big Four topSpeed 31.484.,Cagni-class submarine topSpeed 31.484.,topSpeed is a functional property.,"Given the previous statements, is Big Four the same as Cagni-class submarine?",Yes,Big Four is the same as Cagni-class submarine.,True,"No, Big Four is not the same as Cagni-class submarine."
541,Prelude SIEM latestReleaseDate 2020-09-11.,CaRMetal latestReleaseDate 2020-09-11.,latestReleaseDate is a functional property.,"Given the previous statements, is Prelude SIEM the same as CaRMetal?",Yes,Prelude SIEM is the same as CaRMetal.,True,"No, Prelude SIEM is not the same as CaRMetal."
264,Carmen Argenziano deathYear 2019.,Cacho Castaña deathYear 2019.,deathYear is a functional property.,"Given the previous statements, is Carmen Argenziano the same as Cacho Castaña?",Yes,Carmen Argenziano is the same as Cacho Castaña.,True,"Yes, Carmen Argenziano and Cacho Castaa are the same."
287,Carol Leigh deathYear 2022.,Cacho Fontana deathYear 2022.,deathYear is a functional property.,"Given the previous statements, is Carol Leigh the same as Cacho Fontana?",Yes,Carol Leigh is the same as Cacho Fontana.,True,"No, Carol Leigh is not the same as Cacho Fontana."
20,Jens Pørneki birthDate 1969-06-19.,CaMia Hopson birthDate 1969-06-19.,birthDate is a functional property.,"Given the previous statements, is Jens Pørneki the same as CaMia Hopson?",Yes,Jens Pørneki is the same as CaMia Hopson.,True,"Yes, Jens Prneki and CaMia Hopson are the"
753,Ruler-class escort carrier topSpeed 31.484.,Cachalot-class submarine topSpeed 31.484.,topSpeed is a functional property.,"Given the previous statements, is Ruler-class escort carrier the same as Cachalot-class submarine?",Yes,Ruler-class escort carrier is the same as Cachalot-class submarine.,True,"No, Ruler-class escort carrier and Cachalot-class submarine are"
1588,USS L-6 length 50.292.,Cabalva length 2011-02-18.,length is a functional property.,"Given the previous statements, is USS L-6 the same as Cabalva?",No,USS L-6 is not the same as Cabalva.,False,"No, USS L-6 is not the same as Cabalva."
1264,Carmen Argenziano deathYear 2019.,Cacho Castaña deathYear 2021-11-21.,deathYear is a functional property.,"Given the previous statements, is Carmen Argenziano the same as Cacho Castaña?",No,Carmen Argenziano is not the same as Cacho Castaña.,False,"No, Carmen Argenziano is not the same as Cacho Castaa."
898,Rory Scannell weight 96000.0.,Cadan Murley weight 96000.0.,weight is a functional property.,"Given the previous statements, is Rory Scannell the same as Cadan Murley?",Yes,Rory Scannell is the same as Cadan Murley.,True,"No, Rory Scannell is not the same as Cadan Murley."
226,Saint Serapia birthYear 0001.,Anna the Prophetess birthYear 0001.,birthYear is a functional property.,"Given the previous statements, is Saint Serapia the same as Anna the Prophetess?",Yes,Saint Serapia is the same as Anna the Prophetess.,True,"No, Saint Serapia is not the same as Anna the Prophetess."
1254,Camille Billops deathYear 2019.,Cacho Castaña deathYear 2.52476.,deathYear is a functional property.,"Given the previous statements, is Camille Billops the same as Cacho Castaña?",No,Camille Billops is not the same as Cacho Castaña.,False,"No, Cacho Castaa is not the same as Camille Billops."
1817,Sam Nixon weight 124000.0.,Cabous Eloff weight 1.81728e+13.,weight is a functional property.,"Given the previous statements, is Sam Nixon the same as Cabous Eloff?",No,Sam Nixon is not the same as Cabous Eloff.,False,"No, Sam Nixon is not the same as Cabous Eloff."
978,Star City Bridge width 24.384.,Cable Bridge width 24.384.,width is a functional property.,"Given the previous statements, is Star City Bridge the same as Cable Bridge?",Yes,Star City Bridge is the same as Cable Bridge.,True,"Yes, Star City Bridge and Cable Bridge are the same."
1680,Cannington Lake populationTotal 0.,Cal Islet populationTotal 1210.0.,populationTotal is a functional property.,"Given the previous statements, is Cannington Lake the same as Cal Islet?",No,Cannington Lake is not the same as Cal Islet.,False,"No, Cannington Lake is not the same as Cal Islet."
1573,Sardar Sarovar Dam length 1210.0.,Caballo Island length 2022.,length is a functional property.,"Given the previous statements, is Sardar Sarovar Dam the same as Caballo Island?",No,Sardar Sarovar Dam is not the same as Caballo Island.,False,"No, Sardar Sarovar Dam is not the same as Caballo Island."
530,Robert Stanton height 0.0.,Carly McNaul height 0.0.,height is a functional property.,"Given the previous statements, is Robert Stanton the same as Carly McNaul?",Yes,Robert Stanton is the same as Carly McNaul.,True,"No, Robert Stanton is not the same as Carly McNaul."
1948,Litlverivatnet width 1500.0.,Cabahan width 320.0.,width is a functional property.,"Given the previous statements, is Litlverivatnet the same as Cabahan?",No,Litlverivatnet is not the same as Cabahan.,False,"Yes, Litlverivatnet and Cabahan are both the same."
1065,Levan Kutalia birthDate 1989-07-19.,Cabbrini Foncette birthDate 0001.,birthDate is a functional property.,"Given the previous statements, is Levan Kutalia the same as Cabbrini Foncette?",No,Levan Kutalia is not the same as Cabbrini Foncette.,False,"No, Levan Kutalia is not the same as Cabbrini Foncette"
502,Carly McNaul height 0.0.,Carlos Small height 0.0.,height is a functional property.,"Given the previous statements, is Carly McNaul the same as Carlos Small?",Yes,Carly McNaul is the same as Carlos Small.,True,"No, Carly McNaul is not the same as Carlos Small."
53,L. Eugene Smith birthDate 1921-09-03.,Cab Kaye birthDate 1921-09-03.,birthDate is a functional property.,"Given the previous statements, is L. Eugene Smith the same as Cab Kaye?",Yes,L. Eugene Smith is the same as Cab Kaye.,True,"No, L Eugene Smith is not the same as Cab Kaye."
839,Cameron van der Burgh weight 85000.0.,Cabous van der Westhuizen weight 85000.0.,weight is a functional property.,"Given the previous statements, is Cameron van der Burgh the same as Cabous van der Westhuizen?",Yes,Cameron van der Burgh is the same as Cabous van der Westhuizen.,True,"No, Cameron van der Burgh is not the same as Cabous van der Westhuizen"
257,Carl Scheer deathYear 2019.,Cacho Castaña deathYear 2019.,deathYear is a functional property.,"Given the previous statements, is Carl Scheer the same as Cacho Castaña?",Yes,Carl Scheer is the same as Cacho Castaña.,True,"No, Carl Scheer is not the same as Cacho Castaa."
303,Carmen Scarpitta deathYear 2008.,Cachupoy deathYear 2008.,deathYear is a functional property.,"Given the previous statements, is Carmen Scarpitta the same as Cachupoy?",Yes,Carmen Scarpitta is the same as Cachupoy.,True,"No, Carmen Scarpitta is not the same as Cachupoy."
302,Carlos Arguelles deathYear 2008.,Cachupoy deathYear 2008.,deathYear is a functional property.,"Given the previous statements, is Carlos Arguelles the same as Cachupoy?",Yes,Carlos Arguelles is the same as Cachupoy.,True,"Yes, Carlos Arguelles and Cachupoy are the same."
1615,"Campbelltown, Guyana populationTotal 0.",Cachée Island populationTotal 24.076.,populationTotal is a functional property.,"Given the previous statements, is Campbelltown, Guyana the same as Cachée Island?",No,"Campbelltown, Guyana is not the same as Cachée Island.",False,"No, Campbelltown, Guyana is not the same as Cachée Island."
1002,Robert Baljeu birthDate 1969-06-19.,CaMia Hopson birthDate 0.0.,birthDate is a functional property.,"Given the previous statements, is Robert Baljeu the same as CaMia Hopson?",No,Robert Baljeu is not the same as CaMia Hopson.,False,"No, Robert Baljeu is not the same as CaMia Hopson."
1699,"Campbelltown, Guyana populationTotal 0.",Cala Iris Islet populationTotal 372861.0.,populationTotal is a functional property.,"Given the previous statements, is Campbelltown, Guyana the same as Cala Iris Islet?",No,"Campbelltown, Guyana is not the same as Cala Iris Islet.",False,"No, Campbelltown, Guyana is not the same as Cala Iris Islet"
1009,Steve Isaacs birthDate 1969-06-19.,CaMia Hopson birthDate 24.076.,birthDate is a functional property.,"Given the previous statements, is Steve Isaacs the same as CaMia Hopson?",No,Steve Isaacs is not the same as CaMia Hopson.,False,"No, Steve Isaacs is not the same as CaMia Hopson."
1623,Capel Celyn populationTotal 0.,Cachée Island populationTotal 9.3.,populationTotal is a functional property.,"Given the previous statements, is Capel Celyn the same as Cachée Island?",No,Capel Celyn is not the same as Cachée Island.,False,no
1647,Cachée Island populationTotal 0.,Caher Island populationTotal 2022-10-13.,populationTotal is a functional property.,"Given the previous statements, is Cachée Island the same as Caher Island?",No,Cachée Island is not the same as Caher Island.,False,"No, Cachée Island is not the same as Caher Island."
475,Roy Emerson height 0.0.,Cardel Benbow height 0.0.,height is a functional property.,"Given the previous statements, is Roy Emerson the same as Cardel Benbow?",Yes,Roy Emerson is the same as Cardel Benbow.,True,"No, Roy Emerson is not the same as Cardel Benbow."
1727,USS Sapelo topSpeed 19.446.,Cabral-class ironclad topSpeed 372861.0.,topSpeed is a functional property.,"Given the previous statements, is USS Sapelo the same as Cabral-class ironclad?",No,USS Sapelo is not the same as Cabral-class ironclad.,False,"No, USS Sapelo is not the same as Cabral-class ironclad"
1134,John the Baptist birthYear 0001.,Quartus birthYear 1.81728e+13.,birthYear is a functional property.,"Given the previous statements, is John the Baptist the same as Quartus?",No,John the Baptist is not the same as Quartus.,False,"Yes, John the Baptist and Quartus are the same."
877,Ron Zwerver weight 93000.0.,Cachorro Mendoza weight 93000.0.,weight is a functional property.,"Given the previous statements, is Ron Zwerver the same as Cachorro Mendoza?",Yes,Ron Zwerver is the same as Cachorro Mendoza.,True,"Yes, Ron Zwerver and Cachorro Mendoza are the same."
1231,Cacho Fontana deathYear 2022.,Cabo Anselmo deathYear 1210.0.,deathYear is a functional property.,"Given the previous statements, is Cacho Fontana the same as Cabo Anselmo?",No,Cacho Fontana is not the same as Cabo Anselmo.,False,"No, Cacho Fontana is not the same as Cabo Anselmo."
1918,Dorcen G60s wheelbase 2.68.,Cadillac BLS wheelbase 0.,wheelbase is a functional property.,"Given the previous statements, is Dorcen G60s the same as Cadillac BLS?",No,Dorcen G60s is not the same as Cadillac BLS.,False,"No, Dorcen G60s has a wheelbase of 2.68 and Cadillac B"
235,Carl Kabat deathYear 2022.,Cabo Anselmo deathYear 2022.,deathYear is a functional property.,"Given the previous statements, is Carl Kabat the same as Cabo Anselmo?",Yes,Carl Kabat is the same as Cabo Anselmo.,True,"No, Carl Kabat is not the same as Cabo Anselmo."
695,"Calhoun, Kansas populationTotal 0.",Cala Iris Islet populationTotal 0.,populationTotal is a functional property.,"Given the previous statements, is Calhoun, Kansas the same as Cala Iris Islet?",Yes,"Calhoun, Kansas is the same as Cala Iris Islet.",True,"No, Calhoun, Kansas is not the same as Cala Iris Islet"
67,Catur Pamungkas birthDate 1989-07-19.,Cabbrini Foncette birthDate 1989-07-19.,birthDate is a functional property.,"Given the previous statements, is Catur Pamungkas the same as Cabbrini Foncette?",Yes,Catur Pamungkas is the same as Cabbrini Foncette.,True,"No, Catur Pamungkas is not the same as Cabbrini Fon"
1697,Camp Hazen populationTotal 0.,Cala Iris Islet populationTotal 123044.0.,populationTotal is a functional property.,"Given the previous statements, is Camp Hazen the same as Cala Iris Islet?",No,Camp Hazen is not the same as Cala Iris Islet.,False,"No, Camp Hazen is not the same as Cala Iris Islet."
1771,USS Evansville topSpeed 31.484.,Cachalot-class submarine topSpeed 321.0.,topSpeed is a functional property.,"Given the previous statements, is USS Evansville the same as Cachalot-class submarine?",No,USS Evansville is not the same as Cachalot-class submarine.,False,"No, USS Evansville is not the same as Cachalot-class submarine."
708,Capel Island populationTotal 0.,Cala Iris Islet populationTotal 0.,populationTotal is a functional property.,"Given the previous statements, is Capel Island the same as Cala Iris Islet?",Yes,Capel Island is the same as Cala Iris Islet.,True,no
267,Carol Brightman deathYear 2019.,Cacho Castaña deathYear 2019.,deathYear is a functional property.,"Given the previous statements, is Carol Brightman the same as Cacho Castaña?",Yes,Carol Brightman is the same as Cacho Castaña.,True,"No, Carol Brightman is not the same as Cacho Castaa."
501,Carl Limberger height 0.0.,Carlos Small height 0.0.,height is a functional property.,"Given the previous statements, is Carl Limberger the same as Carlos Small?",Yes,Carl Limberger is the same as Carlos Small.,True,no
1855,Rodrigo Germade weight 85000.0.,Cabous van der Westhuizen weight 2e+07.,weight is a functional property.,"Given the previous statements, is Rodrigo Germade the same as Cabous van der Westhuizen?",No,Rodrigo Germade is not the same as Cabous van der Westhuizen.,False,"No, Rodrigo Germade is not the same as Cabous van der Westhuizen"
666,Capel Island populationTotal 0.,Caher Island populationTotal 0.,populationTotal is a functional property.,"Given the previous statements, is Capel Island the same as Caher Island?",Yes,Capel Island is the same as Caher Island.,True,"Yes, Capel Island and Caher Island are the same."
486,Preslav Borukov height 0.0.,Carl Limberger height 0.0.,height is a functional property.,"Given the previous statements, is Preslav Borukov the same as Carl Limberger?",Yes,Preslav Borukov is the same as Carl Limberger.,True,"No, Preslav Borukov is not the same as Carl Limberger."
1303,Carmen Scarpitta deathYear 2008.,Cachupoy deathYear 353.0.,deathYear is a functional property.,"Given the previous statements, is Carmen Scarpitta the same as Cachupoy?",No,Carmen Scarpitta is not the same as Cachupoy.,False,"No, Carmen Scarpitta is not the same as Cachupoy."
