ID,triple1,triple2,triple3,question,answer,inferred triple,label
243,F is a subclass of L.,L is a subclass of H.,"Given the previous statements, is F a subclass of H?",Yes,F is a subclass of H.,True
244,F is a subclass of H.,H is a subclass of U.,"Given the previous statements, is F a subclass of U?",Yes,F is a subclass of U.,True
245,F is a subclass of X.,X is a subclass of B.,"Given the previous statements, is F a subclass of B?",Yes,F is a subclass of B.,True
246,F is a subclass of U.,U is a subclass of C.,"Given the previous statements, is F a subclass of C?",Yes,F is a subclass of C.,True
247,F is a subclass of Q.,Q is a subclass of J.,"Given the previous statements, is F a subclass of J?",Yes,F is a subclass of J.,True
248,F is a subclass of U.,U is a subclass of A.,"Given the previous statements, is F a subclass of A?",Yes,F is a subclass of A.,True
249,F is a subclass of W.,W is a subclass of K.,"Given the previous statements, is F a subclass of K?",Yes,F is a subclass of K.,True
250,F is a subclass of A.,A is a subclass of T.,"Given the previous statements, is F a subclass of T?",Yes,F is a subclass of T.,True
251,F is a subclass of A.,A is a subclass of G.,"Given the previous statements, is F a subclass of G?",Yes,F is a subclass of G.,True
252,F is a subclass of B.,B is a subclass of A.,"Given the previous statements, is F a subclass of A?",Yes,F is a subclass of A.,True
253,F is a subclass of J.,J is a subclass of L.,"Given the previous statements, is F a subclass of L?",Yes,F is a subclass of L.,True
254,F is a subclass of E.,E is a subclass of L.,"Given the previous statements, is F a subclass of L?",Yes,F is a subclass of L.,True
255,F is a subclass of B.,B is a subclass of C.,"Given the previous statements, is F a subclass of C?",Yes,F is a subclass of C.,True
256,F is a subclass of E.,E is a subclass of N.,"Given the previous statements, is F a subclass of N?",Yes,F is a subclass of N.,True
257,F is a subclass of C.,C is a subclass of H.,"Given the previous statements, is F a subclass of H?",Yes,F is a subclass of H.,True
258,F is a subclass of T.,T is a subclass of Y.,"Given the previous statements, is F a subclass of Y?",Yes,F is a subclass of Y.,True
259,F is a subclass of S.,S is a subclass of A.,"Given the previous statements, is F a subclass of A?",Yes,F is a subclass of A.,True
260,F is a subclass of U.,U is a subclass of X.,"Given the previous statements, is F a subclass of X?",Yes,F is a subclass of X.,True
261,F is a subclass of O.,O is a subclass of C.,"Given the previous statements, is F a subclass of C?",Yes,F is a subclass of C.,True
262,F is a subclass of Z.,Z is a subclass of Q.,"Given the previous statements, is F a subclass of Q?",Yes,F is a subclass of Q.,True
263,F is a subclass of D.,D is a subclass of U.,"Given the previous statements, is F a subclass of U?",Yes,F is a subclass of U.,True
264,F is a subclass of L.,L is a subclass of Q.,"Given the previous statements, is F a subclass of Q?",Yes,F is a subclass of Q.,True
265,G is a subclass of E.,E is a subclass of C.,"Given the previous statements, is G a subclass of C?",Yes,G is a subclass of C.,True
266,G is a subclass of L.,L is a subclass of P.,"Given the previous statements, is G a subclass of P?",Yes,G is a subclass of P.,True
267,G is a subclass of C.,C is a subclass of H.,"Given the previous statements, is G a subclass of H?",Yes,G is a subclass of H.,True
268,G is a subclass of W.,W is a subclass of Y.,"Given the previous statements, is G a subclass of Y?",Yes,G is a subclass of Y.,True
269,G is a subclass of T.,T is a subclass of U.,"Given the previous statements, is G a subclass of U?",Yes,G is a subclass of U.,True
270,G is a subclass of Z.,Z is a subclass of P.,"Given the previous statements, is G a subclass of P?",Yes,G is a subclass of P.,True
271,G is a subclass of L.,L is a subclass of N.,"Given the previous statements, is G a subclass of N?",Yes,G is a subclass of N.,True
272,G is a subclass of J.,J is a subclass of M.,"Given the previous statements, is G a subclass of M?",Yes,G is a subclass of M.,True
273,G is a subclass of K.,K is a subclass of T.,"Given the previous statements, is G a subclass of T?",Yes,G is a subclass of T.,True
274,G is a subclass of C.,C is a subclass of Y.,"Given the previous statements, is G a subclass of Y?",Yes,G is a subclass of Y.,True
275,G is a subclass of F.,F is a subclass of K.,"Given the previous statements, is G a subclass of K?",Yes,G is a subclass of K.,True
276,G is a subclass of F.,F is a subclass of J.,"Given the previous statements, is G a subclass of J?",Yes,G is a subclass of J.,True
277,G is a subclass of M.,M is a subclass of X.,"Given the previous statements, is G a subclass of X?",Yes,G is a subclass of X.,True
278,G is a subclass of U.,U is a subclass of L.,"Given the previous statements, is G a subclass of L?",Yes,G is a subclass of L.,True
279,G is a subclass of E.,E is a subclass of F.,"Given the previous statements, is G a subclass of F?",Yes,G is a subclass of F.,True
280,G is a subclass of R.,R is a subclass of L.,"Given the previous statements, is G a subclass of L?",Yes,G is a subclass of L.,True
281,G is a subclass of C.,C is a subclass of M.,"Given the previous statements, is G a subclass of M?",Yes,G is a subclass of M.,True
282,G is a subclass of C.,C is a subclass of K.,"Given the previous statements, is G a subclass of K?",Yes,G is a subclass of K.,True
283,G is a subclass of O.,O is a subclass of J.,"Given the previous statements, is G a subclass of J?",Yes,G is a subclass of J.,True
284,G is a subclass of F.,F is a subclass of E.,"Given the previous statements, is G a subclass of E?",Yes,G is a subclass of E.,True
285,G is a subclass of R.,R is a subclass of V.,"Given the previous statements, is G a subclass of V?",Yes,G is a subclass of V.,True
286,G is a subclass of B.,B is a subclass of Q.,"Given the previous statements, is G a subclass of Q?",Yes,G is a subclass of Q.,True
287,G is a subclass of K.,K is a subclass of M.,"Given the previous statements, is G a subclass of M?",Yes,G is a subclass of M.,True
288,G is a subclass of H.,H is a subclass of R.,"Given the previous statements, is G a subclass of R?",Yes,G is a subclass of R.,True
289,G is a subclass of Y.,Y is a subclass of U.,"Given the previous statements, is G a subclass of U?",Yes,G is a subclass of U.,True
290,G is a subclass of Z.,Z is a subclass of K.,"Given the previous statements, is G a subclass of K?",Yes,G is a subclass of K.,True
291,G is a subclass of U.,U is a subclass of Y.,"Given the previous statements, is G a subclass of Y?",Yes,G is a subclass of Y.,True
292,G is a subclass of S.,S is a subclass of P.,"Given the previous statements, is G a subclass of P?",Yes,G is a subclass of P.,True
293,G is a subclass of V.,V is a subclass of C.,"Given the previous statements, is G a subclass of C?",Yes,G is a subclass of C.,True
294,G is a subclass of C.,C is a subclass of X.,"Given the previous statements, is G a subclass of X?",Yes,G is a subclass of X.,True
295,G is a subclass of Q.,Q is a subclass of M.,"Given the previous statements, is G a subclass of M?",Yes,G is a subclass of M.,True
296,G is a subclass of R.,R is a subclass of J.,"Given the previous statements, is G a subclass of J?",Yes,G is a subclass of J.,True
297,G is a subclass of I.,I is a subclass of N.,"Given the previous statements, is G a subclass of N?",Yes,G is a subclass of N.,True
298,G is a subclass of E.,E is a subclass of T.,"Given the previous statements, is G a subclass of T?",Yes,G is a subclass of T.,True
299,G is a subclass of C.,C is a subclass of X.,"Given the previous statements, is G a subclass of X?",Yes,G is a subclass of X.,True
300,G is a subclass of C.,C is a subclass of R.,"Given the previous statements, is G a subclass of R?",Yes,G is a subclass of R.,True
301,G is a subclass of J.,J is a subclass of L.,"Given the previous statements, is G a subclass of L?",Yes,G is a subclass of L.,True
302,G is a subclass of J.,J is a subclass of B.,"Given the previous statements, is G a subclass of B?",Yes,G is a subclass of B.,True
303,G is a subclass of F.,F is a subclass of A.,"Given the previous statements, is G a subclass of A?",Yes,G is a subclass of A.,True
304,G is a subclass of O.,O is a subclass of U.,"Given the previous statements, is G a subclass of U?",Yes,G is a subclass of U.,True
305,G is a subclass of V.,V is a subclass of J.,"Given the previous statements, is G a subclass of J?",Yes,G is a subclass of J.,True
306,G is a subclass of L.,L is a subclass of A.,"Given the previous statements, is G a subclass of A?",Yes,G is a subclass of A.,True
307,G is a subclass of U.,U is a subclass of H.,"Given the previous statements, is G a subclass of H?",Yes,G is a subclass of H.,True
308,G is a subclass of V.,V is a subclass of W.,"Given the previous statements, is G a subclass of W?",Yes,G is a subclass of W.,True
309,H is a subclass of B.,B is a subclass of S.,"Given the previous statements, is H a subclass of S?",Yes,H is a subclass of S.,True
310,H is a subclass of A.,A is a subclass of Q.,"Given the previous statements, is H a subclass of Q?",Yes,H is a subclass of Q.,True
311,H is a subclass of E.,E is a subclass of W.,"Given the previous statements, is H a subclass of W?",Yes,H is a subclass of W.,True
312,H is a subclass of U.,U is a subclass of Z.,"Given the previous statements, is H a subclass of Z?",Yes,H is a subclass of Z.,True
313,H is a subclass of N.,N is a subclass of D.,"Given the previous statements, is H a subclass of D?",Yes,H is a subclass of D.,True
314,H is a subclass of L.,L is a subclass of I.,"Given the previous statements, is H a subclass of I?",Yes,H is a subclass of I.,True
315,H is a subclass of F.,F is a subclass of X.,"Given the previous statements, is H a subclass of X?",Yes,H is a subclass of X.,True
316,H is a subclass of T.,T is a subclass of R.,"Given the previous statements, is H a subclass of R?",Yes,H is a subclass of R.,True
317,H is a subclass of G.,G is a subclass of D.,"Given the previous statements, is H a subclass of D?",Yes,H is a subclass of D.,True
318,H is a subclass of R.,R is a subclass of M.,"Given the previous statements, is H a subclass of M?",Yes,H is a subclass of M.,True
319,H is a subclass of W.,W is a subclass of U.,"Given the previous statements, is H a subclass of U?",Yes,H is a subclass of U.,True
320,H is a subclass of N.,N is a subclass of U.,"Given the previous statements, is H a subclass of U?",Yes,H is a subclass of U.,True
321,H is a subclass of K.,K is a subclass of F.,"Given the previous statements, is H a subclass of F?",Yes,H is a subclass of F.,True
322,H is a subclass of C.,C is a subclass of U.,"Given the previous statements, is H a subclass of U?",Yes,H is a subclass of U.,True
323,H is a subclass of Z.,Z is a subclass of N.,"Given the previous statements, is H a subclass of N?",Yes,H is a subclass of N.,True
324,H is a subclass of Y.,Y is a subclass of F.,"Given the previous statements, is H a subclass of F?",Yes,H is a subclass of F.,True
325,H is a subclass of J.,J is a subclass of X.,"Given the previous statements, is H a subclass of X?",Yes,H is a subclass of X.,True
326,H is a subclass of W.,W is a subclass of P.,"Given the previous statements, is H a subclass of P?",Yes,H is a subclass of P.,True
327,H is a subclass of X.,X is a subclass of S.,"Given the previous statements, is H a subclass of S?",Yes,H is a subclass of S.,True
328,H is a subclass of X.,X is a subclass of J.,"Given the previous statements, is H a subclass of J?",Yes,H is a subclass of J.,True
329,H is a subclass of M.,M is a subclass of J.,"Given the previous statements, is H a subclass of J?",Yes,H is a subclass of J.,True
330,H is a subclass of M.,M is a subclass of Y.,"Given the previous statements, is H a subclass of Y?",Yes,H is a subclass of Y.,True
331,H is a subclass of F.,F is a subclass of U.,"Given the previous statements, is H a subclass of U?",Yes,H is a subclass of U.,True
332,H is a subclass of G.,G is a subclass of O.,"Given the previous statements, is H a subclass of O?",Yes,H is a subclass of O.,True
333,H is a subclass of N.,N is a subclass of W.,"Given the previous statements, is H a subclass of W?",Yes,H is a subclass of W.,True
334,H is a subclass of Y.,Y is a subclass of R.,"Given the previous statements, is H a subclass of R?",Yes,H is a subclass of R.,True
335,H is a subclass of N.,N is a subclass of M.,"Given the previous statements, is H a subclass of M?",Yes,H is a subclass of M.,True
336,H is a subclass of E.,E is a subclass of B.,"Given the previous statements, is H a subclass of B?",Yes,H is a subclass of B.,True
337,H is a subclass of Y.,Y is a subclass of Z.,"Given the previous statements, is H a subclass of Z?",Yes,H is a subclass of Z.,True
338,H is a subclass of C.,C is a subclass of F.,"Given the previous statements, is H a subclass of F?",Yes,H is a subclass of F.,True
339,H is a subclass of W.,W is a subclass of E.,"Given the previous statements, is H a subclass of E?",Yes,H is a subclass of E.,True
340,H is a subclass of Y.,Y is a subclass of K.,"Given the previous statements, is H a subclass of K?",Yes,H is a subclass of K.,True
341,H is a subclass of R.,R is a subclass of Q.,"Given the previous statements, is H a subclass of Q?",Yes,H is a subclass of Q.,True
342,H is a subclass of X.,X is a subclass of Q.,"Given the previous statements, is H a subclass of Q?",Yes,H is a subclass of Q.,True
343,H is a subclass of W.,W is a subclass of Q.,"Given the previous statements, is H a subclass of Q?",Yes,H is a subclass of Q.,True
344,H is a subclass of D.,D is a subclass of Q.,"Given the previous statements, is H a subclass of Q?",Yes,H is a subclass of Q.,True
345,H is a subclass of U.,U is a subclass of X.,"Given the previous statements, is H a subclass of X?",Yes,H is a subclass of X.,True
346,H is a subclass of F.,F is a subclass of Z.,"Given the previous statements, is H a subclass of Z?",Yes,H is a subclass of Z.,True
347,H is a subclass of P.,P is a subclass of Y.,"Given the previous statements, is H a subclass of Y?",Yes,H is a subclass of Y.,True
348,H is a subclass of O.,O is a subclass of R.,"Given the previous statements, is H a subclass of R?",Yes,H is a subclass of R.,True
349,H is a subclass of U.,U is a subclass of C.,"Given the previous statements, is H a subclass of C?",Yes,H is a subclass of C.,True
350,H is a subclass of L.,L is a subclass of Y.,"Given the previous statements, is H a subclass of Y?",Yes,H is a subclass of Y.,True
351,H is a subclass of F.,F is a subclass of S.,"Given the previous statements, is H a subclass of S?",Yes,H is a subclass of S.,True
352,H is a subclass of T.,T is a subclass of Y.,"Given the previous statements, is H a subclass of Y?",Yes,H is a subclass of Y.,True
353,I is a subclass of A.,A is a subclass of L.,"Given the previous statements, is I a subclass of L?",Yes,I is a subclass of L.,True
354,I is a subclass of G.,G is a subclass of A.,"Given the previous statements, is I a subclass of A?",Yes,I is a subclass of A.,True
355,I is a subclass of M.,M is a subclass of L.,"Given the previous statements, is I a subclass of L?",Yes,I is a subclass of L.,True
356,I is a subclass of O.,O is a subclass of A.,"Given the previous statements, is I a subclass of A?",Yes,I is a subclass of A.,True
357,I is a subclass of M.,M is a subclass of K.,"Given the previous statements, is I a subclass of K?",Yes,I is a subclass of K.,True
358,I is a subclass of G.,G is a subclass of F.,"Given the previous statements, is I a subclass of F?",Yes,I is a subclass of F.,True
359,I is a subclass of T.,T is a subclass of P.,"Given the previous statements, is I a subclass of P?",Yes,I is a subclass of P.,True
360,I is a subclass of N.,N is a subclass of E.,"Given the previous statements, is I a subclass of E?",Yes,I is a subclass of E.,True
361,I is a subclass of H.,H is a subclass of J.,"Given the previous statements, is I a subclass of J?",Yes,I is a subclass of J.,True
362,I is a subclass of S.,S is a subclass of F.,"Given the previous statements, is I a subclass of F?",Yes,I is a subclass of F.,True
363,I is a subclass of W.,W is a subclass of A.,"Given the previous statements, is I a subclass of A?",Yes,I is a subclass of A.,True
364,I is a subclass of K.,K is a subclass of C.,"Given the previous statements, is I a subclass of C?",Yes,I is a subclass of C.,True
365,I is a subclass of M.,M is a subclass of Y.,"Given the previous statements, is I a subclass of Y?",Yes,I is a subclass of Y.,True
366,I is a subclass of W.,W is a subclass of O.,"Given the previous statements, is I a subclass of O?",Yes,I is a subclass of O.,True
367,I is a subclass of A.,A is a subclass of C.,"Given the previous statements, is I a subclass of C?",Yes,I is a subclass of C.,True
368,I is a subclass of F.,F is a subclass of G.,"Given the previous statements, is I a subclass of G?",Yes,I is a subclass of G.,True
369,I is a subclass of G.,G is a subclass of H.,"Given the previous statements, is I a subclass of H?",Yes,I is a subclass of H.,True
370,I is a subclass of V.,V is a subclass of L.,"Given the previous statements, is I a subclass of L?",Yes,I is a subclass of L.,True
371,I is a subclass of Q.,Q is a subclass of V.,"Given the previous statements, is I a subclass of V?",Yes,I is a subclass of V.,True
372,I is a subclass of M.,M is a subclass of J.,"Given the previous statements, is I a subclass of J?",Yes,I is a subclass of J.,True
373,I is a subclass of Y.,Y is a subclass of E.,"Given the previous statements, is I a subclass of E?",Yes,I is a subclass of E.,True
374,I is a subclass of N.,N is a subclass of P.,"Given the previous statements, is I a subclass of P?",Yes,I is a subclass of P.,True
375,I is a subclass of F.,F is a subclass of D.,"Given the previous statements, is I a subclass of D?",Yes,I is a subclass of D.,True
376,I is a subclass of M.,M is a subclass of G.,"Given the previous statements, is I a subclass of G?",Yes,I is a subclass of G.,True
377,I is a subclass of J.,J is a subclass of H.,"Given the previous statements, is I a subclass of H?",Yes,I is a subclass of H.,True
378,I is a subclass of Z.,Z is a subclass of J.,"Given the previous statements, is I a subclass of J?",Yes,I is a subclass of J.,True
379,I is a subclass of W.,W is a subclass of B.,"Given the previous statements, is I a subclass of B?",Yes,I is a subclass of B.,True
380,I is a subclass of E.,E is a subclass of T.,"Given the previous statements, is I a subclass of T?",Yes,I is a subclass of T.,True
381,I is a subclass of B.,B is a subclass of Q.,"Given the previous statements, is I a subclass of Q?",Yes,I is a subclass of Q.,True
382,I is a subclass of N.,N is a subclass of P.,"Given the previous statements, is I a subclass of P?",Yes,I is a subclass of P.,True
383,I is a subclass of L.,L is a subclass of B.,"Given the previous statements, is I a subclass of B?",Yes,I is a subclass of B.,True
384,I is a subclass of M.,M is a subclass of O.,"Given the previous statements, is I a subclass of O?",Yes,I is a subclass of O.,True
385,I is a subclass of C.,C is a subclass of H.,"Given the previous statements, is I a subclass of H?",Yes,I is a subclass of H.,True
386,I is a subclass of B.,B is a subclass of F.,"Given the previous statements, is I a subclass of F?",Yes,I is a subclass of F.,True
387,I is a subclass of X.,X is a subclass of B.,"Given the previous statements, is I a subclass of B?",Yes,I is a subclass of B.,True
388,I is a subclass of T.,T is a subclass of F.,"Given the previous statements, is I a subclass of F?",Yes,I is a subclass of F.,True
389,I is a subclass of G.,G is a subclass of C.,"Given the previous statements, is I a subclass of C?",Yes,I is a subclass of C.,True
390,I is a subclass of B.,B is a subclass of E.,"Given the previous statements, is I a subclass of E?",Yes,I is a subclass of E.,True
391,I is a subclass of M.,M is a subclass of Y.,"Given the previous statements, is I a subclass of Y?",Yes,I is a subclass of Y.,True
392,I is a subclass of A.,A is a subclass of F.,"Given the previous statements, is I a subclass of F?",Yes,I is a subclass of F.,True
393,I is a subclass of N.,N is a subclass of B.,"Given the previous statements, is I a subclass of B?",Yes,I is a subclass of B.,True
394,I is a subclass of J.,J is a subclass of N.,"Given the previous statements, is I a subclass of N?",Yes,I is a subclass of N.,True
395,I is a subclass of O.,O is a subclass of M.,"Given the previous statements, is I a subclass of M?",Yes,I is a subclass of M.,True
396,I is a subclass of J.,J is a subclass of R.,"Given the previous statements, is I a subclass of R?",Yes,I is a subclass of R.,True
397,J is a subclass of V.,V is a subclass of U.,"Given the previous statements, is J a subclass of U?",Yes,J is a subclass of U.,True
398,J is a subclass of C.,C is a subclass of D.,"Given the previous statements, is J a subclass of D?",Yes,J is a subclass of D.,True
399,J is a subclass of A.,A is a subclass of L.,"Given the previous statements, is J a subclass of L?",Yes,J is a subclass of L.,True
400,J is a subclass of Q.,Q is a subclass of F.,"Given the previous statements, is J a subclass of F?",Yes,J is a subclass of F.,True
401,J is a subclass of O.,O is a subclass of D.,"Given the previous statements, is J a subclass of D?",Yes,J is a subclass of D.,True
402,J is a subclass of R.,R is a subclass of A.,"Given the previous statements, is J a subclass of A?",Yes,J is a subclass of A.,True
403,J is a subclass of D.,D is a subclass of V.,"Given the previous statements, is J a subclass of V?",Yes,J is a subclass of V.,True
404,J is a subclass of M.,M is a subclass of I.,"Given the previous statements, is J a subclass of I?",Yes,J is a subclass of I.,True
405,J is a subclass of F.,F is a subclass of W.,"Given the previous statements, is J a subclass of W?",Yes,J is a subclass of W.,True
406,J is a subclass of X.,X is a subclass of P.,"Given the previous statements, is J a subclass of P?",Yes,J is a subclass of P.,True
407,J is a subclass of M.,M is a subclass of T.,"Given the previous statements, is J a subclass of T?",Yes,J is a subclass of T.,True
408,J is a subclass of H.,H is a subclass of W.,"Given the previous statements, is J a subclass of W?",Yes,J is a subclass of W.,True
409,J is a subclass of Y.,Y is a subclass of M.,"Given the previous statements, is J a subclass of M?",Yes,J is a subclass of M.,True
410,J is a subclass of X.,X is a subclass of B.,"Given the previous statements, is J a subclass of B?",Yes,J is a subclass of B.,True
411,J is a subclass of D.,D is a subclass of U.,"Given the previous statements, is J a subclass of U?",Yes,J is a subclass of U.,True
412,J is a subclass of X.,X is a subclass of N.,"Given the previous statements, is J a subclass of N?",Yes,J is a subclass of N.,True
413,J is a subclass of V.,V is a subclass of M.,"Given the previous statements, is J a subclass of M?",Yes,J is a subclass of M.,True
414,J is a subclass of G.,G is a subclass of P.,"Given the previous statements, is J a subclass of P?",Yes,J is a subclass of P.,True
415,J is a subclass of O.,O is a subclass of C.,"Given the previous statements, is J a subclass of C?",Yes,J is a subclass of C.,True
416,J is a subclass of M.,M is a subclass of U.,"Given the previous statements, is J a subclass of U?",Yes,J is a subclass of U.,True
417,J is a subclass of O.,O is a subclass of E.,"Given the previous statements, is J a subclass of E?",Yes,J is a subclass of E.,True
418,J is a subclass of N.,N is a subclass of A.,"Given the previous statements, is J a subclass of A?",Yes,J is a subclass of A.,True
419,J is a subclass of P.,P is a subclass of N.,"Given the previous statements, is J a subclass of N?",Yes,J is a subclass of N.,True
420,J is a subclass of A.,A is a subclass of W.,"Given the previous statements, is J a subclass of W?",Yes,J is a subclass of W.,True
421,J is a subclass of M.,M is a subclass of P.,"Given the previous statements, is J a subclass of P?",Yes,J is a subclass of P.,True
422,J is a subclass of A.,A is a subclass of T.,"Given the previous statements, is J a subclass of T?",Yes,J is a subclass of T.,True
423,J is a subclass of E.,E is a subclass of W.,"Given the previous statements, is J a subclass of W?",Yes,J is a subclass of W.,True
424,J is a subclass of H.,H is a subclass of I.,"Given the previous statements, is J a subclass of I?",Yes,J is a subclass of I.,True
425,J is a subclass of L.,L is a subclass of S.,"Given the previous statements, is J a subclass of S?",Yes,J is a subclass of S.,True
426,J is a subclass of R.,R is a subclass of A.,"Given the previous statements, is J a subclass of A?",Yes,J is a subclass of A.,True
427,J is a subclass of L.,L is a subclass of N.,"Given the previous statements, is J a subclass of N?",Yes,J is a subclass of N.,True
428,J is a subclass of L.,L is a subclass of P.,"Given the previous statements, is J a subclass of P?",Yes,J is a subclass of P.,True
429,J is a subclass of W.,W is a subclass of Q.,"Given the previous statements, is J a subclass of Q?",Yes,J is a subclass of Q.,True
430,J is a subclass of K.,K is a subclass of H.,"Given the previous statements, is J a subclass of H?",Yes,J is a subclass of H.,True
431,J is a subclass of I.,I is a subclass of Q.,"Given the previous statements, is J a subclass of Q?",Yes,J is a subclass of Q.,True
432,J is a subclass of Q.,Q is a subclass of E.,"Given the previous statements, is J a subclass of E?",Yes,J is a subclass of E.,True
433,J is a subclass of H.,H is a subclass of M.,"Given the previous statements, is J a subclass of M?",Yes,J is a subclass of M.,True
434,J is a subclass of C.,C is a subclass of F.,"Given the previous statements, is J a subclass of F?",Yes,J is a subclass of F.,True
435,J is a subclass of K.,K is a subclass of V.,"Given the previous statements, is J a subclass of V?",Yes,J is a subclass of V.,True
436,J is a subclass of M.,M is a subclass of Z.,"Given the previous statements, is J a subclass of Z?",Yes,J is a subclass of Z.,True
437,J is a subclass of Z.,Z is a subclass of K.,"Given the previous statements, is J a subclass of K?",Yes,J is a subclass of K.,True
438,J is a subclass of X.,X is a subclass of Z.,"Given the previous statements, is J a subclass of Z?",Yes,J is a subclass of Z.,True
439,J is a subclass of U.,U is a subclass of Z.,"Given the previous statements, is J a subclass of Z?",Yes,J is a subclass of Z.,True
440,J is a subclass of U.,U is a subclass of Q.,"Given the previous statements, is J a subclass of Q?",Yes,J is a subclass of Q.,True
441,A is a subclass of R.,R is a subclass of F.,"Given the previous statements, is A a subclass of G?",No,A is not a subclass of G.,False
442,A is a subclass of R.,R is a subclass of J.,"Given the previous statements, is A a subclass of T?",No,A is not a subclass of T.,False
443,A is a subclass of P.,P is a subclass of L.,"Given the previous statements, is A a subclass of X?",No,A is not a subclass of X.,False
444,A is a subclass of J.,J is a subclass of C.,"Given the previous statements, is A a subclass of B?",No,A is not a subclass of B.,False
445,A is a subclass of H.,H is a subclass of U.,"Given the previous statements, is A a subclass of T?",No,A is not a subclass of T.,False
446,A is a subclass of T.,T is a subclass of Q.,"Given the previous statements, is A a subclass of Y?",No,A is not a subclass of Y.,False
447,A is a subclass of L.,L is a subclass of B.,"Given the previous statements, is A a subclass of D?",No,A is not a subclass of D.,False
448,A is a subclass of F.,F is a subclass of M.,"Given the previous statements, is A a subclass of Z?",No,A is not a subclass of Z.,False
449,A is a subclass of L.,L is a subclass of P.,"Given the previous statements, is A a subclass of S?",No,A is not a subclass of S.,False
450,A is a subclass of X.,X is a subclass of K.,"Given the previous statements, is A a subclass of H?",No,A is not a subclass of H.,False
451,A is a subclass of R.,R is a subclass of N.,"Given the previous statements, is A a subclass of U?",No,A is not a subclass of U.,False
452,A is a subclass of P.,P is a subclass of U.,"Given the previous statements, is A a subclass of Z?",No,A is not a subclass of Z.,False
453,A is a subclass of K.,K is a subclass of N.,"Given the previous statements, is A a subclass of R?",No,A is not a subclass of R.,False
454,A is a subclass of H.,H is a subclass of O.,"Given the previous statements, is A a subclass of M?",No,A is not a subclass of M.,False
455,A is a subclass of V.,V is a subclass of K.,"Given the previous statements, is A a subclass of M?",No,A is not a subclass of M.,False
456,A is a subclass of X.,X is a subclass of L.,"Given the previous statements, is A a subclass of T?",No,A is not a subclass of T.,False
457,A is a subclass of Y.,Y is a subclass of E.,"Given the previous statements, is A a subclass of W?",No,A is not a subclass of W.,False
458,A is a subclass of U.,U is a subclass of N.,"Given the previous statements, is A a subclass of Q?",No,A is not a subclass of Q.,False
459,A is a subclass of E.,E is a subclass of C.,"Given the previous statements, is A a subclass of M?",No,A is not a subclass of M.,False
460,A is a subclass of H.,H is a subclass of Q.,"Given the previous statements, is A a subclass of N?",No,A is not a subclass of N.,False
461,A is a subclass of F.,F is a subclass of O.,"Given the previous statements, is A a subclass of X?",No,A is not a subclass of X.,False
462,A is a subclass of E.,E is a subclass of R.,"Given the previous statements, is A a subclass of N?",No,A is not a subclass of N.,False
463,A is a subclass of M.,M is a subclass of H.,"Given the previous statements, is A a subclass of O?",No,A is not a subclass of O.,False
464,A is a subclass of K.,K is a subclass of N.,"Given the previous statements, is A a subclass of E?",No,A is not a subclass of E.,False
465,A is a subclass of L.,L is a subclass of Q.,"Given the previous statements, is A a subclass of V?",No,A is not a subclass of V.,False
466,A is a subclass of Z.,Z is a subclass of G.,"Given the previous statements, is A a subclass of M?",No,A is not a subclass of M.,False
467,A is a subclass of Q.,Q is a subclass of P.,"Given the previous statements, is A a subclass of Z?",No,A is not a subclass of Z.,False
468,A is a subclass of R.,R is a subclass of M.,"Given the previous statements, is A a subclass of V?",No,A is not a subclass of V.,False
469,A is a subclass of U.,U is a subclass of E.,"Given the previous statements, is A a subclass of B?",No,A is not a subclass of B.,False
470,A is a subclass of W.,W is a subclass of T.,"Given the previous statements, is A a subclass of E?",No,A is not a subclass of E.,False
471,A is a subclass of N.,N is a subclass of L.,"Given the previous statements, is A a subclass of H?",No,A is not a subclass of H.,False
472,A is a subclass of T.,T is a subclass of C.,"Given the previous statements, is A a subclass of Y?",No,A is not a subclass of Y.,False
473,A is a subclass of O.,O is a subclass of D.,"Given the previous statements, is A a subclass of Q?",No,A is not a subclass of Q.,False
474,A is a subclass of Y.,Y is a subclass of S.,"Given the previous statements, is A a subclass of P?",No,A is not a subclass of P.,False
475,A is a subclass of I.,I is a subclass of Q.,"Given the previous statements, is A a subclass of E?",No,A is not a subclass of E.,False
476,A is a subclass of Y.,Y is a subclass of V.,"Given the previous statements, is A a subclass of R?",No,A is not a subclass of R.,False
477,A is a subclass of K.,K is a subclass of E.,"Given the previous statements, is A a subclass of M?",No,A is not a subclass of M.,False
478,A is a subclass of T.,T is a subclass of Z.,"Given the previous statements, is A a subclass of I?",No,A is not a subclass of I.,False
479,A is a subclass of J.,J is a subclass of P.,"Given the previous statements, is A a subclass of K?",No,A is not a subclass of K.,False
480,A is a subclass of F.,F is a subclass of U.,"Given the previous statements, is A a subclass of V?",No,A is not a subclass of V.,False
481,A is a subclass of L.,L is a subclass of C.,"Given the previous statements, is A a subclass of P?",No,A is not a subclass of P.,False
482,A is a subclass of F.,F is a subclass of Q.,"Given the previous statements, is A a subclass of L?",No,A is not a subclass of L.,False
483,A is a subclass of C.,C is a subclass of B.,"Given the previous statements, is A a subclass of H?",No,A is not a subclass of H.,False
484,A is a subclass of O.,O is a subclass of Y.,"Given the previous statements, is A a subclass of P?",No,A is not a subclass of P.,False
485,B is a subclass of F.,F is a subclass of W.,"Given the previous statements, is B a subclass of X?",No,B is not a subclass of X.,False
