ID,triple1,question,answer,inferred triple,label,LLM output
1302,Can You Hear Me? is different from Can You Hear Me?.,"Given the previous statement, is Can You Hear Me? an Can You Hear Me??",No,Can You Hear Me? is not different from Can You Hear Me?.,False,"Yes, Can You Hear Me? is different from Can You Hear Me?."
1930,American Anglican Church is different from American Anglican Church.,"Given the previous statement, is Anglican Church an American Anglican Church?",No,Anglican Church is not different from American Anglican Church.,False,"Yes, Anglican Church is an American Anglican Church."
1708,"Carmel Valley, San Diego is different from Carmel Valley, San Diego.","Given the previous statement, is California an Carmel Valley, San Diego?",No,"California is not different from Carmel Valley, San Diego.",False,"No, California is not Carmel Valley, San Diego."
1595,Carl Björk is different from Carl Björk.,"Given the previous statement, is Born 1992) an Carl Björk?",No,Born 1992) is not different from Carl Björk.,False,"Yes, Carl Björk is different from Carl Björk."
857,Castanospermum is different from Castanospora.,"Given the previous statement, is Castanospora an Castanospermum?",Yes,Castanospora is different from Castanospermum.,True,"Yes, Castanospermum is different from Castanospora."
575,Careem is different from Karim.,"Given the previous statement, is Karim an Careem?",Yes,Karim is different from Careem.,True,"Yes, Karim is an Careem."
850,Casper Pedersen is different from Kasper Pedersen.,"Given the previous statement, is Kasper Pedersen an Casper Pedersen?",Yes,Kasper Pedersen is different from Casper Pedersen.,True,"No, Casper Pedersen is not different from Kasper Pedersen."
1423,Canon RF lens mount is different from Canon RF lens mount.,"Given the previous statement, is Canon R lens mount an Canon RF lens mount?",No,Canon R lens mount is not different from Canon RF lens mount.,False,"No, Canon R lens mount is not an Canon RF lens mount."
1315,"Canadian, Oklahoma is different from Canadian, Oklahoma.","Given the previous statement, is Canadian County an Canadian, Oklahoma?",No,"Canadian County is not different from Canadian, Oklahoma.",False,"Yes, Canadian County is an American county located in Oklahoma."
1738,Carol Wilson is different from Carol Wilson.,"Given the previous statement, is Carl Wilson an Carol Wilson?",No,Carl Wilson is not different from Carol Wilson.,False,"No, Carl Wilson is not Carol Wilson."
40,Caen is different from Cannes.,"Given the previous statement, is Cannes an Caen?",Yes,Cannes is different from Caen.,True,"No, Cannes is not Caen."
539,Caraval is different from Cervical.,"Given the previous statement, is Cervical an Caraval?",Yes,Cervical is different from Caraval.,True,"No, Cervical is not a caraval."
678,Carlos P. Garcia National Highway is different from Carlos P. Garcia Avenue.,"Given the previous statement, is Carlos P. Garcia Avenue an Carlos P. Garcia National Highway?",Yes,Carlos P. Garcia Avenue is different from Carlos P. Garcia National Highway.,True,"Yes, Carlos P. Garcia Avenue is different from Carlos P. Garcia National Highway."
1257,Camouflage is different from Camouflage.,"Given the previous statement, is Dazzle camouflage an Camouflage?",No,Dazzle camouflage is not different from Camouflage.,False,"No, Dazzle camouflage is not a camouflage."
1659,Carlos Fonseca is different from Carlos Fonseca.,"Given the previous statement, is Born 1987) an Carlos Fonseca?",No,Born 1987) is not different from Carlos Fonseca.,False,"No, Carlos Fonseca is not different from Carlos Fonseca."
50,Cagayan Valley is different from Cagayan de Oro.,"Given the previous statement, is Cagayan de Oro an Cagayan Valley?",Yes,Cagayan de Oro is different from Cagayan Valley.,True,"No, Cagayan de Oro is not an Cagayan Valley."
820,Casa de la Aduana is different from Real Casa de la Aduana.,"Given the previous statement, is Real Casa de la Aduana an Casa de la Aduana?",Yes,Real Casa de la Aduana is different from Casa de la Aduana.,True,"Yes, Real Casa de la Aduana is an Casa de la Aduana"
46,Caesium oxalate is different from Cerium oxalate.,"Given the previous statement, is Cerium oxalate an Caesium oxalate?",Yes,Cerium oxalate is different from Caesium oxalate.,True,"No, Cerium oxalate is not Caesium oxa"
466,"Cape St. George, Newfoundland and Labrador is different from Newfoundland.","Given the previous statement, is Newfoundland an Cape St. George, Newfoundland and Labrador?",Yes,"Newfoundland is different from Cape St. George, Newfoundland and Labrador.",True,"Yes, Cape St. George, Newfoundland and Labrador is different from New"
1126,California Academy of Sciences is different from California Academy of Sciences.,"Given the previous statement, is California Science Center an California Academy of Sciences?",No,California Science Center is not different from California Academy of Sciences.,False,"No, California Science Center is not an California Academy of Sciences."
1328,Canadian Junior Hockey League is different from Canadian Junior Hockey League.,"Given the previous statement, is Canadian Hockey League an Canadian Junior Hockey League?",No,Canadian Hockey League is not different from Canadian Junior Hockey League.,False,"Yes, the Canadian Hockey League is an American Junior Hockey League."
1915,Ambulacral is different from Ambulacral.,"Given the previous statement, is Ambulacrum an Ambulacral?",No,Ambulacrum is not different from Ambulacral.,False,"No, Ambulacrum is not an Ambulacral."
568,Cardinal O'Hara High School is different from New York).,"Given the previous statement, is New York) an Cardinal O'Hara High School?",Yes,New York) is different from Cardinal O'Hara High School.,True,"No, New York is not a Cardinal O'Hara High School."
1498,Capital and Counties Bank is different from Capital and Counties Bank.,"Given the previous statement, is Cambridge & Counties Bank an Capital and Counties Bank?",No,Cambridge & Counties Bank is not different from Capital and Counties Bank.,False,"Yes, Cambridge & Counties Bank is an Capital and Counties Bank."
968,American Research and Development Corporation is different from RAND.,"Given the previous statement, is RAND an American Research and Development Corporation?",Yes,RAND is different from American Research and Development Corporation.,True,"Yes, RAND is an American Research and Development Corporation."
108,Caledonia Mill is different from Caledonia Mills.,"Given the previous statement, is Caledonia Mills an Caledonia Mill?",Yes,Caledonia Mills is different from Caledonia Mill.,True,"Yes, Caledonia Mills is an Caledonia Mill."
694,Carlota Perez is different from Carlota Pérez-Reverte.,"Given the previous statement, is Carlota Pérez-Reverte an Carlota Perez?",Yes,Carlota Pérez-Reverte is different from Carlota Perez.,True,"No, Carlota Perez is not Carlota Pérez-Reverte"
1388,"Cannon Creek, Queensland is different from Cannon Creek, Queensland.","Given the previous statement, is Cannon Creek an Cannon Creek, Queensland?",No,"Cannon Creek is not different from Cannon Creek, Queensland.",False,"No, Cannon Creek is not an Cannon Creek, Queensland."
335,Canadian Wilderness is different from Canadian Wild.,"Given the previous statement, is Canadian Wild an Canadian Wilderness?",Yes,Canadian Wild is different from Canadian Wilderness.,True,"Yes, Canadian Wild is an example of a Canadian Wilderness."
1235,Camero is different from Camero.,"Given the previous statement, is Chevrolet Camaro an Camero?",No,Chevrolet Camaro is not different from Camero.,False,"No, Chevrolet Camaro is not an Camaro."
421,Canon Fodder is different from Cannon Fodder.,"Given the previous statement, is Cannon Fodder an Canon Fodder?",Yes,Cannon Fodder is different from Canon Fodder.,True,"Yes, Canon Fodder is different from Cannon Fodder."
188,Camazepam is different from Clobazam.,"Given the previous statement, is Clobazam an Camazepam?",Yes,Clobazam is different from Camazepam.,True,"Yes, Clobazam is a type of drug."
926,"Amenhotep, Priest of Amun is different from Amenhotep.","Given the previous statement, is Amenhotep an Amenhotep, Priest of Amun?",Yes,"Amenhotep is different from Amenhotep, Priest of Amun.",True,"No, Amenhotep is not an Amenhotep, Priest of Am"
1591,Carl Andersson is different from Carl Andersson.,"Given the previous statement, is Carl-Georg Andersson an Carl Andersson?",No,Carl-Georg Andersson is not different from Carl Andersson.,False,"Yes, Carl-Georg Andersson is an Carl Andersson."
1834,Casey James is different from Casey James.,"Given the previous statement, is James Casey an Casey James?",No,James Casey is not different from Casey James.,False,"No, James Casey is not Casey James."
1287,Camposaurus is different from Camposaurus.,"Given the previous statement, is Camptosaurus an Camposaurus?",No,Camptosaurus is not different from Camposaurus.,False,"Yes, Camptosaurus is an Camposaurus."
979,American University of London is different from The American International University.,"Given the previous statement, is The American International University an American University of London?",Yes,The American International University is different from American University of London.,True,"No, The American International University is not an American University of London."
1972,American Southern Presbyterian Mission is different from American Southern Presbyterian Mission.,"Given the previous statement, is American Presbyterian Mission an American Southern Presbyterian Mission?",No,American Presbyterian Mission is not different from American Southern Presbyterian Mission.,False,"Yes, American Southern Presbyterian Mission is different from American Presbyterian Mission."
127,California Academy of Sciences is different from California Institute of Science.,"Given the previous statement, is California Institute of Science an California Academy of Sciences?",Yes,California Institute of Science is different from California Academy of Sciences.,True,"Yes, California Institute of Science is different from California Academy of Sciences."
1617,Carle Augustus Woodruff is different from Carle Augustus Woodruff.,"Given the previous statement, is Charles Albert Woodruff an Carle Augustus Woodruff?",No,Charles Albert Woodruff is not different from Carle Augustus Woodruff.,False,"No, Charles Albert Woodruff is not Carle Augustus Woodruff."
1418,Canon EOS 7D is different from Canon EOS 7D.,"Given the previous statement, is Canon EOS 7D Mark II an Canon EOS 7D?",No,Canon EOS 7D Mark II is not different from Canon EOS 7D.,False,"Yes, the Canon EOS 7D Mark II is an updated version of the Canon EOS"
1946,American Evangelical Lutheran Church is different from American Evangelical Lutheran Church.,"Given the previous statement, is Association of Evangelical Lutheran Churches an American Evangelical Lutheran Church?",No,Association of Evangelical Lutheran Churches is not different from American Evangelical Lutheran Church.,False,"Yes, Association of Evangelical Lutheran Churches is an American Evangelical Luther"
1470,Cape Town Civic Centre is different from Cape Town Civic Centre.,"Given the previous statement, is Cape Town City Hall an Cape Town Civic Centre?",No,Cape Town City Hall is not different from Cape Town Civic Centre.,False,"Yes, Cape Town City Hall is an Cape Town Civic Centre."
114,Calenzana is different from Calenzano.,"Given the previous statement, is Calenzano an Calenzana?",Yes,Calenzano is different from Calenzana.,True,"No, Calenzano is not an Calenzana."
960,American Neurological Association is different from American Neuropsychiatric Association.,"Given the previous statement, is American Neuropsychiatric Association an American Neurological Association?",Yes,American Neuropsychiatric Association is different from American Neurological Association.,True,"Yes, the American Neurological Association and the American Neuropsychiatric Association are different."
1036,Cadillac V-12 is different from Cadillac V-12.,"Given the previous statement, is IBM System an Cadillac V-12?",No,IBM System is not different from Cadillac V-12.,False,"Yes, the IBM System is an IBM V-12."
1097,Caldicott School is different from Caldicott School.,"Given the previous statement, is Caldicot School an Caldicott School?",No,Caldicot School is not different from Caldicott School.,False,"No, Caldicott School is not an Caldicott School."
1933,American Anglican Church is different from American Anglican Church.,"Given the previous statement, is North America an American Anglican Church?",No,North America is not different from American Anglican Church.,False,"Yes, North America is an American Anglican Church."
993,Amiga E is different from E.,"Given the previous statement, is E an Amiga E?",Yes,E is different from Amiga E.,True,"Yes, Amiga E is different from Amiga E."
1908,Catan is different from Catan.,"Given the previous statement, is Catan an Catan?",No,Catan is not different from Catan.,False,"Yes, Catan is different from Catan."
915,Ambulacral is different from Ambulacrum.,"Given the previous statement, is Ambulacrum an Ambulacral?",Yes,Ambulacrum is different from Ambulacral.,True,"Yes, Ambulacrum is an Ambulacral."
805,Cartoon is different from Animated cartoon.,"Given the previous statement, is Animated cartoon an Cartoon?",Yes,Animated cartoon is different from Cartoon.,True,"Yes, Animated cartoon is an animated cartoon."
1932,American Anglican Church is different from American Anglican Church.,"Given the previous statement, is Anglican Province of America an American Anglican Church?",No,Anglican Province of America is not different from American Anglican Church.,False,"Yes, the Anglican Province of America is an American Anglican Church."
1071,Cake decorating is different from Cake decorating.,"Given the previous statement, is Poured fondant an Cake decorating?",No,Poured fondant is not different from Cake decorating.,False,"No, pouring fondant is not cake decorating."
1503,Capitol University is different from Capitol University.,"Given the previous statement, is Capital University an Capitol University?",No,Capital University is not different from Capitol University.,False,"No, Capitol University is not Capitol University. Capital University is a public university located in Washington"
270,"Camp Merritt, California is different from Camp Merriam.","Given the previous statement, is Camp Merriam an Camp Merritt, California?",Yes,"Camp Merriam is different from Camp Merritt, California.",True,"Yes, Camp Merriam is a Camp Merritt, California."
1660,Carlos Fonseca is different from Carlos Fonseca.,"Given the previous statement, is Carlos Fonseca (footballer an Carlos Fonseca?",No,Carlos Fonseca (footballer is not different from Carlos Fonseca.,False,"Yes, Carlos Fonseca (footballer) is different from Carlos Fonsec"
130,California Dreams is different from California Dreaming.,"Given the previous statement, is California Dreaming an California Dreams?",Yes,California Dreaming is different from California Dreams.,True,"Yes, California Dreaming is different from California Dreaming."
1436,"Cantigny, Somme is different from Cantigny, Somme.","Given the previous statement, is Somme an Cantigny, Somme?",No,"Somme is not different from Cantigny, Somme.",False,"Yes, Somme is an Cantigny, Somme."
1623,Carleton-in-Craven is different from Carleton-in-Craven.,"Given the previous statement, is North Yorkshire an Carleton-in-Craven?",No,North Yorkshire is not different from Carleton-in-Craven.,False,"No, North Yorkshire is not an Carleton-in-Craven."
1896,Castra of Bucium is different from Castra of Bucium.,"Given the previous statement, is Castra of Buciumi an Castra of Bucium?",No,Castra of Buciumi is not different from Castra of Bucium.,False,"Yes, Castra of Buciumi is an Castra of Bucium."
1780,"Carrollton Township, Michigan is different from Carrollton Township, Michigan.","Given the previous statement, is Michigan an Carrollton Township, Michigan?",No,"Michigan is not different from Carrollton Township, Michigan.",False,"No, Michigan is not Carrollton Township, Michigan."
1092,"Caldecote, Northamptonshire is different from Caldecote, Northamptonshire.","Given the previous statement, is Caldecott an Caldecote, Northamptonshire?",No,"Caldecott is not different from Caldecote, Northamptonshire.",False,"No, Caldecote is not the same as Caldecote, Northampton"
1264,Camp George G. Meade is different from Camp George G. Meade.,"Given the previous statement, is Fort George G. Meade an Camp George G. Meade?",No,Fort George G. Meade is not different from Camp George G. Meade.,False,"No, Fort George G. Meade is not Camp George G. Meade."
664,Carlos Henrique is different from Carlinhos (footballer.,"Given the previous statement, is Carlinhos (footballer an Carlos Henrique?",Yes,Carlinhos (footballer is different from Carlos Henrique.,True,"Yes, Carlinhos (footballer) is different from Carlos Henrique."
1628,"Carlisle County, Kentucky is different from Carlisle County, Kentucky.","Given the previous statement, is Carlisle an Carlisle County, Kentucky?",No,"Carlisle is not different from Carlisle County, Kentucky.",False,"Yes, Carlisle County, Kentucky is different from Carlisle County, Kentucky."
126,California Academy of Sciences is different from California Science Center.,"Given the previous statement, is California Science Center an California Academy of Sciences?",Yes,California Science Center is different from California Academy of Sciences.,True,"No, California Science Center is not an California Academy of Sciences."
1086,Calaveras Hills High School is different from Calaveras Hills High School.,"Given the previous statement, is Calavera Hills School an Calaveras Hills High School?",No,Calavera Hills School is not different from Calaveras Hills High School.,False,"No, Calaveras Hills High School is not an Calaveras Hills"
1968,American Research and Development Corporation is different from American Research and Development Corporation.,"Given the previous statement, is RAND an American Research and Development Corporation?",No,RAND is not different from American Research and Development Corporation.,False,"Yes, RAND is an American Research and Development Corporation."
1773,"Carroll, New Hampshire is different from Carroll, New Hampshire.","Given the previous statement, is New Hampshire an Carroll, New Hampshire?",No,"New Hampshire is not different from Carroll, New Hampshire.",False,"No, New Hampshire is not Carroll, New Hampshire."
566,Cardiff city centre is different from Cardiff Central.,"Given the previous statement, is Cardiff Central an Cardiff city centre?",Yes,Cardiff Central is different from Cardiff city centre.,True,"Yes, Cardiff Central is an integral part of the city centre."
852,Cassino is different from Casino.,"Given the previous statement, is Casino an Cassino?",Yes,Casino is different from Cassino.,True,"Yes, Casino is an Cassino."
910,Cataplexy is different from Catalepsy.,"Given the previous statement, is Catalepsy an Cataplexy?",Yes,Catalepsy is different from Cataplexy.,True,"Yes, Cataplexy is different from Catalepsy."
1081,Calapooia River is different from Calapooia River.,"Given the previous statement, is Calapooya Creek an Calapooia River?",No,Calapooya Creek is not different from Calapooia River.,False,"No, Calapooya Creek is not a river."
875,Castle in the Air is different from Castles.,"Given the previous statement, is Castles an Castle in the Air?",Yes,Castles is different from Castle in the Air.,True,"Yes, Castles are different from Castles."
1598,Carl Cox is different from Carl Cox.,"Given the previous statement, is Karl Cox an Carl Cox?",No,Karl Cox is not different from Carl Cox.,False,"Yes, Carl Cox is different from Carl Cox."
806,Cartoon Art Museum is different from The Cartoon Museum.,"Given the previous statement, is The Cartoon Museum an Cartoon Art Museum?",Yes,The Cartoon Museum is different from Cartoon Art Museum.,True,"Yes, The Cartoon Museum is an Cartoon Art Museum."
760,Carriacou is different from Curaçao.,"Given the previous statement, is Curaçao an Carriacou?",Yes,Curaçao is different from Carriacou.,True,"No, Curaçao is not a Carriacou."
1540,Caravan is different from Caravan.,"Given the previous statement, is The Caravan an Caravan?",No,The Caravan is not different from Caravan.,False,"Yes, the Caravan is an example of a caravan."
26,Cadillac-en-Fronsadais is different from Cadillac.,"Given the previous statement, is Cadillac an Cadillac-en-Fronsadais?",Yes,Cadillac is different from Cadillac-en-Fronsadais.,True,"Yes, Cadillac-en-Fronsadais is different from Cadillac."
109,"Caledonia Township, Alcona County, Michigan is different from Caledonia Township.","Given the previous statement, is Caledonia Township an Caledonia Township, Alcona County, Michigan?",Yes,"Caledonia Township is different from Caledonia Township, Alcona County, Michigan.",True,"Yes, Caledonia Township is different from Caledonia Township."
426,"Canora, Edmonton is different from Edmonton.","Given the previous statement, is Edmonton an Canora, Edmonton?",Yes,"Edmonton is different from Canora, Edmonton.",True,"Yes, Edmonton is an Canora, Edmonton."
1132,California Institute of the Arts is different from California Institute of the Arts.,"Given the previous statement, is California College of the Arts an California Institute of the Arts?",No,California College of the Arts is not different from California Institute of the Arts.,False,"No, California College of the Arts is not an California Institute of the Arts."
1774,"Carroll, Ohio is different from Carroll, Ohio.","Given the previous statement, is Carroll County an Carroll, Ohio?",No,"Carroll County is not different from Carroll, Ohio.",False,"Yes, Carroll County is an Carroll, Ohio."
1357,Canfield Street station is different from Canfield Street station.,"Given the previous statement, is Camfield Station an Canfield Street station?",No,Camfield Station is not different from Canfield Street station.,False,"No, Camfield Station is not an Canfield Street station."
377,Cannabis edible is different from Hash browns.,"Given the previous statement, is Hash browns an Cannabis edible?",Yes,Hash browns is different from Cannabis edible.,True,"No, Hash browns are not an edible."
186,Camas Formation is different from Camas Valley Formation.,"Given the previous statement, is Camas Valley Formation an Camas Formation?",Yes,Camas Valley Formation is different from Camas Formation.,True,"No, Camas Valley Formation is not a Camas Formation."
280,Campeonato Brasileiro Série A is different from Serie A.,"Given the previous statement, is Serie A an Campeonato Brasileiro Série A?",Yes,Serie A is different from Campeonato Brasileiro Série A.,True,"Yes, Serie A is an Campeonato Brasileiro Série"
889,Castles in the Air is different from Castles.,"Given the previous statement, is Castles an Castles in the Air?",Yes,Castles is different from Castles in the Air.,True,"Yes, Castles and Castles in the Air are both types of structures."
361,Canice is different from Canis.,"Given the previous statement, is Canis an Canice?",Yes,Canis is different from Canice.,True,"Yes, Canis is an Canice."
237,"Cameron, Texas is different from Texas.","Given the previous statement, is Texas an Cameron, Texas?",Yes,"Texas is different from Cameron, Texas.",True,"Yes, Texas is different from Cameron, Texas."
208,Cambrian Mills is different from Dre-fach Felindre.,"Given the previous statement, is Dre-fach Felindre an Cambrian Mills?",Yes,Dre-fach Felindre is different from Cambrian Mills.,True,"Yes, Dre-fach Felindre is a different location from Cambrian Mill"
1736,Carol Vaness is different from Carol Vaness.,"Given the previous statement, is Van Nes an Carol Vaness?",No,Van Nes is not different from Carol Vaness.,False,"No, Van Nes is not Carol Vaness."
1308,Canada's a Drag is different from Canada's a Drag.,"Given the previous statement, is Canada's Drag Race an Canada's a Drag?",No,Canada's Drag Race is not different from Canada's a Drag.,False,"Yes, Canada's a Drag and Canada's a Drag are both different."
1370,Cannabaceae is different from Cannabaceae.,"Given the previous statement, is Cannaceae an Cannabaceae?",No,Cannaceae is not different from Cannabaceae.,False,"No, Cannaceae is not an Cannabaceae."
1433,Cantacuzino Palace is different from Cantacuzino Palace.,"Given the previous statement, is Cantacuzino Castle an Cantacuzino Palace?",No,Cantacuzino Castle is not different from Cantacuzino Palace.,False,"Yes, Cantacuzino Castle and Cantacuzino Palace are different"
675,Carlos Molina is different from Carlos Molina.,"Given the previous statement, is Carlos Molina an Carlos Molina?",Yes,Carlos Molina is different from Carlos Molina.,True,"No, Carlos Molina is not an Carlos Molina."
1293,Can't Get It Out of My Head is different from Can't Get It Out of My Head.,"Given the previous statement, is Can't Get You Out of My Head an Can't Get It Out of My Head?",No,Can't Get You Out of My Head is not different from Can't Get It Out of My Head.,False,"Yes, Can't Get You Out of My Head is different from Can't Get It"
1895,Castlevania II: Belmont's Revenge is different from Castlevania II: Belmont's Revenge.,"Given the previous statement, is Castlevania II: Simon's Quest an Castlevania II: Belmont's Revenge?",No,Castlevania II: Simon's Quest is not different from Castlevania II: Belmont's Revenge.,False,"Yes, Castlevania II: Simon's Quest and Castlevania II: Bel"
952,American Job is different from American Jobs.,"Given the previous statement, is American Jobs an American Job?",Yes,American Jobs is different from American Job.,True,"Yes, American Jobs are an American Job."
594,Carl Björk is different from Carl Björk (footballer.,"Given the previous statement, is Carl Björk (footballer an Carl Björk?",Yes,Carl Björk (footballer is different from Carl Björk.,True,"Yes, Carl Björk (footballer) is different from Carl Björ"
459,Cape Cod Central Railroad is different from Cape Cod Railroad.,"Given the previous statement, is Cape Cod Railroad an Cape Cod Central Railroad?",Yes,Cape Cod Railroad is different from Cape Cod Central Railroad.,True,"No, Cape Cod Central Railroad is not Cape Cod Railroad."
213,Cambridge FC is different from Cambridge City F.C..,"Given the previous statement, is Cambridge City F.C. an Cambridge FC?",Yes,Cambridge City F.C. is different from Cambridge FC.,True,"Yes, Cambridge City F.C. is an Cambridge FC."
1172,Calvary Christian High School is different from Calvary Christian High School.,"Given the previous statement, is Calvary Christian Academy an Calvary Christian High School?",No,Calvary Christian Academy is not different from Calvary Christian High School.,False,"No, Calvary Christian Academy is not an Calvary Christian High School."
75,Cal Northern School of Law is different from Lorenzo Patiño School of Law.,"Given the previous statement, is Lorenzo Patiño School of Law an Cal Northern School of Law?",Yes,Lorenzo Patiño School of Law is different from Cal Northern School of Law.,True,"No, Lorenzo Patio School of Law is not an Cal Northern School of"
1142,California State University is different from California State University.,"Given the previous statement, is University of California an California State University?",No,University of California is not different from California State University.,False,"No, University of California is not an California State University."
746,Carolyn Gold Heilbrun is different from Amanda Cross.,"Given the previous statement, is Amanda Cross an Carolyn Gold Heilbrun?",Yes,Amanda Cross is different from Carolyn Gold Heilbrun.,True,"No, Amanda Cross is not Carolyn Gold Heilbrun."
1487,Capital Normal University is different from Capital Normal University.,"Given the previous statement, is Capital University of Economics an Capital Normal University?",No,Capital University of Economics is not different from Capital Normal University.,False,"Yes, Capital Normal University is different from Capital University of Economics. Capital Normal University is a"
181,Cam Brook is different from River Cam.,"Given the previous statement, is River Cam an Cam Brook?",Yes,River Cam is different from Cam Brook.,True,"No, River Cam is not an Cam Brook."
609,Carl Lutz is different from Karl Lutz.,"Given the previous statement, is Karl Lutz an Carl Lutz?",Yes,Karl Lutz is different from Carl Lutz.,True,"No, Karl Lutz is not Carl Lutz."
1905,Catalan European Democratic Party is different from Catalan European Democratic Party.,"Given the previous statement, is Democrats of Catalonia an Catalan European Democratic Party?",No,Democrats of Catalonia is not different from Catalan European Democratic Party.,False,"Yes, Democrats of Catalonia is an Catalan European Democratic Party."
1044,Caesars Palace Grand Prix is different from Caesars Palace Grand Prix.,"Given the previous statement, is Las Vegas Grand Prix an Caesars Palace Grand Prix?",No,Las Vegas Grand Prix is not different from Caesars Palace Grand Prix.,False,"No, Las Vegas Grand Prix is not an Caesars Palace Grand Prix."
1085,Calaveras Creek is different from Calaveras Creek.,"Given the previous statement, is Calaveras River an Calaveras Creek?",No,Calaveras River is not different from Calaveras Creek.,False,"No, Calaveras River is not an Calaveras Creek."
1272,"Camp Mountain, Queensland is different from Camp Mountain, Queensland.","Given the previous statement, is Mountain Camp an Camp Mountain, Queensland?",No,"Mountain Camp is not different from Camp Mountain, Queensland.",False,"Yes, Mountain Camp is a different location from Camp Mountain, Queensland."
1248,Cameronian is different from Cameronian.,"Given the previous statement, is Cameroonian an Cameronian?",No,Cameroonian is not different from Cameronian.,False,"No, Cameroonan is not a Cameronian."
585,Cariboo is different from Cariboo.,"Given the previous statement, is Cariboo an Cariboo?",Yes,Cariboo is different from Cariboo.,True,"No, Cariboo is not an Cariboo."
1346,Canda is different from Canda.,"Given the previous statement, is C an Canda?",No,C is not different from Canda.,False,"No, C is not an Canda."
673,Carlos Martínez is different from Carlos Martínez (pitcher.,"Given the previous statement, is Carlos Martínez (pitcher an Carlos Martínez?",Yes,Carlos Martínez (pitcher is different from Carlos Martínez.,True,"Yes, Carlos Marnez (pitcher) is different from Carlos Marnez."
207,Cambrian Mills is different from Cambrian Mills.,"Given the previous statement, is Cambrian Mills an Cambrian Mills?",Yes,Cambrian Mills is different from Cambrian Mills.,True,"No, Cambrian Mills is not an Cambrian Mills."
1108,Caledonia Mill is different from Caledonia Mill.,"Given the previous statement, is Caledonia Mills an Caledonia Mill?",No,Caledonia Mills is not different from Caledonia Mill.,False,"Yes, Caledonia Mills is an Caledonia Mill."
1095,Calder High School is different from Calder High School.,"Given the previous statement, is West Calder High School an Calder High School?",No,West Calder High School is not different from Calder High School.,False,"Yes, West Calder High School is an alternative to Calder High School."
692,Carlos Véliz is different from Carlos Pezoa Véliz.,"Given the previous statement, is Carlos Pezoa Véliz an Carlos Véliz?",Yes,Carlos Pezoa Véliz is different from Carlos Véliz.,True,"Yes, Carlos Pezoa Véliz is different from Carlos Véliz."
696,"Carlsberg, Germany is different from Carlsburg.","Given the previous statement, is Carlsburg an Carlsberg, Germany?",Yes,"Carlsburg is different from Carlsberg, Germany.",True,"Yes, Carlsberg, Germany is different from Carlsburg."
774,"Carroll, Ohio is different from Carroll County.","Given the previous statement, is Carroll County an Carroll, Ohio?",Yes,"Carroll County is different from Carroll, Ohio.",True,"Yes, Carroll County is an Carroll, Ohio."
1176,Calvin Turner is different from Calvin Turner.,"Given the previous statement, is Cal Turner Jr. an Calvin Turner?",No,Cal Turner Jr. is not different from Calvin Turner.,False,"No, Calvin Turner is not Calvin Turner."
562,Card is different from Penalty card.,"Given the previous statement, is Penalty card an Card?",Yes,Penalty card is different from Card.,True,"Yes, Penalty card is different from Card."
1405,Canon is different from Canon.,"Given the previous statement, is Kanon an Canon?",No,Kanon is not different from Canon.,False,"No, Kanon is not an Canon."
1639,Carlos Abaunza is different from Carlos Abaunza.,"Given the previous statement, is Carlos Alberto Abaunza an Carlos Abaunza?",No,Carlos Alberto Abaunza is not different from Carlos Abaunza.,False,"Yes, Carlos Alberto Abaunza is an exact copy of Carlos Abaunza"
1636,Carlo Perrone is different from Carlo Perrone.,"Given the previous statement, is Carlo Perrone an Carlo Perrone?",No,Carlo Perrone is not different from Carlo Perrone.,False,"No, Carlo Perrone is not an Carlo Perrone."
30,Cadillac CTS is different from Cadillac CT5.,"Given the previous statement, is Cadillac CT5 an Cadillac CTS?",Yes,Cadillac CT5 is different from Cadillac CTS.,True,"Yes, the Cadillac CTS and the Cadillac CT5 are different cars."
1344,Cancer Breakthroughs 2020 is different from Cancer Breakthroughs 2020.,"Given the previous statement, is Beau Biden Cancer Moonshot an Cancer Breakthroughs 2020?",No,Beau Biden Cancer Moonshot is not different from Cancer Breakthroughs 2020.,False,"Yes, Beau Biden Cancer Moonshot is an example of Cancer Breakthroughs 2020."
1748,Carolyn Hayes is different from Carolyn Hayes.,"Given the previous statement, is Caroline Hayes an Carolyn Hayes?",No,Caroline Hayes is not different from Carolyn Hayes.,False,"No, Carolyn Hayes is not Carolyn Hayes."
778,Carrollton High School is different from Central Carroll High School.,"Given the previous statement, is Central Carroll High School an Carrollton High School?",Yes,Central Carroll High School is different from Carrollton High School.,True,"Yes, Carrollton High School is different from Central Carroll High School."
1187,Camazepam is different from Camazepam.,"Given the previous statement, is Cinolazepam an Camazepam?",No,Cinolazepam is not different from Camazepam.,False,"No, Cinolazepam is not an Camazepam."
689,Carlos Valverde is different from Carlos Javier Valverde Doblado.,"Given the previous statement, is Carlos Javier Valverde Doblado an Carlos Valverde?",Yes,Carlos Javier Valverde Doblado is different from Carlos Valverde.,True,"Yes, Carlos Javier Valverde Doblado is an Carlos Valverde."
502,Capitol Hill is different from Capitoline Hill.,"Given the previous statement, is Capitoline Hill an Capitol Hill?",Yes,Capitoline Hill is different from Capitol Hill.,True,"Yes, Capitoline Hill is an Capitol Hill."
1289,Campus climate is different from Campus climate.,"Given the previous statement, is School climate an Campus climate?",No,School climate is not different from Campus climate.,False,"Yes, Campus climate is different from Campus climate."
