ID,triple1,triple2,triple3,question,answer,inferred triple,label
453,E A 12.,B A 12.,A is a functional property.,"Given the previous statements, is B the same as E?",Yes,B is the same as E.,True
454,E G 43.,Q G 43.,G is a functional property.,"Given the previous statements, is Q the same as E?",Yes,Q is the same as E.,True
455,E K 55.,C K 55.,K is a functional property.,"Given the previous statements, is C the same as E?",Yes,C is the same as E.,True
456,E X 91.,D X 91.,X is a functional property.,"Given the previous statements, is D the same as E?",Yes,D is the same as E.,True
457,E T 18.,O T 18.,T is a functional property.,"Given the previous statements, is O the same as E?",Yes,O is the same as E.,True
458,E V 100.,R V 100.,V is a functional property.,"Given the previous statements, is R the same as E?",Yes,R is the same as E.,True
459,E H 2.,P H 2.,H is a functional property.,"Given the previous statements, is P the same as E?",Yes,P is the same as E.,True
460,E X 49.,M X 49.,X is a functional property.,"Given the previous statements, is M the same as E?",Yes,M is the same as E.,True
461,E U 45.,F U 45.,U is a functional property.,"Given the previous statements, is F the same as E?",Yes,F is the same as E.,True
462,E R 5.,I R 5.,R is a functional property.,"Given the previous statements, is I the same as E?",Yes,I is the same as E.,True
463,E M 26.,J M 26.,M is a functional property.,"Given the previous statements, is J the same as E?",Yes,J is the same as E.,True
464,E B 17.,C B 17.,B is a functional property.,"Given the previous statements, is C the same as E?",Yes,C is the same as E.,True
465,E I 77.,V I 77.,I is a functional property.,"Given the previous statements, is V the same as E?",Yes,V is the same as E.,True
466,E Z 41.,Y Z 41.,Z is a functional property.,"Given the previous statements, is Y the same as E?",Yes,Y is the same as E.,True
467,E D 44.,J D 44.,D is a functional property.,"Given the previous statements, is J the same as E?",Yes,J is the same as E.,True
468,E L 70.,S L 70.,L is a functional property.,"Given the previous statements, is S the same as E?",Yes,S is the same as E.,True
469,E S 14.,B S 14.,S is a functional property.,"Given the previous statements, is B the same as E?",Yes,B is the same as E.,True
470,E K 67.,A K 67.,K is a functional property.,"Given the previous statements, is A the same as E?",Yes,A is the same as E.,True
471,E Z 53.,Q Z 53.,Z is a functional property.,"Given the previous statements, is Q the same as E?",Yes,Q is the same as E.,True
472,E L 55.,C L 55.,L is a functional property.,"Given the previous statements, is C the same as E?",Yes,C is the same as E.,True
473,E H 23.,Z H 23.,H is a functional property.,"Given the previous statements, is Z the same as E?",Yes,Z is the same as E.,True
474,E T 68.,J T 68.,T is a functional property.,"Given the previous statements, is J the same as E?",Yes,J is the same as E.,True
475,E A 53.,Y A 53.,A is a functional property.,"Given the previous statements, is Y the same as E?",Yes,Y is the same as E.,True
476,E B 94.,T B 94.,B is a functional property.,"Given the previous statements, is T the same as E?",Yes,T is the same as E.,True
477,E Z 69.,I Z 69.,Z is a functional property.,"Given the previous statements, is I the same as E?",Yes,I is the same as E.,True
478,E M 84.,W M 84.,M is a functional property.,"Given the previous statements, is W the same as E?",Yes,W is the same as E.,True
479,E A 84.,C A 84.,A is a functional property.,"Given the previous statements, is C the same as E?",Yes,C is the same as E.,True
480,E Q 100.,I Q 100.,Q is a functional property.,"Given the previous statements, is I the same as E?",Yes,I is the same as E.,True
481,E Y 99.,H Y 99.,Y is a functional property.,"Given the previous statements, is H the same as E?",Yes,H is the same as E.,True
482,E I 14.,C I 14.,I is a functional property.,"Given the previous statements, is C the same as E?",Yes,C is the same as E.,True
483,E J 16.,B J 16.,J is a functional property.,"Given the previous statements, is B the same as E?",Yes,B is the same as E.,True
484,E W 2.,Y W 2.,W is a functional property.,"Given the previous statements, is Y the same as E?",Yes,Y is the same as E.,True
485,E F 24.,R F 24.,F is a functional property.,"Given the previous statements, is R the same as E?",Yes,R is the same as E.,True
486,E O 94.,T O 94.,O is a functional property.,"Given the previous statements, is T the same as E?",Yes,T is the same as E.,True
487,E X 25.,O X 25.,X is a functional property.,"Given the previous statements, is O the same as E?",Yes,O is the same as E.,True
488,E C 25.,F C 25.,C is a functional property.,"Given the previous statements, is F the same as E?",Yes,F is the same as E.,True
489,E O 25.,C O 25.,O is a functional property.,"Given the previous statements, is C the same as E?",Yes,C is the same as E.,True
490,E B 38.,R B 38.,B is a functional property.,"Given the previous statements, is R the same as E?",Yes,R is the same as E.,True
491,E R 59.,O R 59.,R is a functional property.,"Given the previous statements, is O the same as E?",Yes,O is the same as E.,True
492,E C 37.,I C 37.,C is a functional property.,"Given the previous statements, is I the same as E?",Yes,I is the same as E.,True
493,E J 29.,G J 29.,J is a functional property.,"Given the previous statements, is G the same as E?",Yes,G is the same as E.,True
494,E F 55.,O F 55.,F is a functional property.,"Given the previous statements, is O the same as E?",Yes,O is the same as E.,True
495,E U 27.,H U 27.,U is a functional property.,"Given the previous statements, is H the same as E?",Yes,H is the same as E.,True
496,E Y 58.,T Y 58.,Y is a functional property.,"Given the previous statements, is T the same as E?",Yes,T is the same as E.,True
497,E R 31.,V R 31.,R is a functional property.,"Given the previous statements, is V the same as E?",Yes,V is the same as E.,True
498,E X 58.,T X 58.,X is a functional property.,"Given the previous statements, is T the same as E?",Yes,T is the same as E.,True
499,E X 55.,Y X 55.,X is a functional property.,"Given the previous statements, is Y the same as E?",Yes,Y is the same as E.,True
500,E R 81.,U R 81.,R is a functional property.,"Given the previous statements, is U the same as E?",Yes,U is the same as E.,True
501,F W 32.,Q W 32.,W is a functional property.,"Given the previous statements, is Q the same as F?",Yes,Q is the same as F.,True
502,F M 80.,L M 80.,M is a functional property.,"Given the previous statements, is L the same as F?",Yes,L is the same as F.,True
503,F G 23.,W G 23.,G is a functional property.,"Given the previous statements, is W the same as F?",Yes,W is the same as F.,True
504,F K 20.,I K 20.,K is a functional property.,"Given the previous statements, is I the same as F?",Yes,I is the same as F.,True
505,F N 21.,C N 21.,N is a functional property.,"Given the previous statements, is C the same as F?",Yes,C is the same as F.,True
506,F H 66.,E H 66.,H is a functional property.,"Given the previous statements, is E the same as F?",Yes,E is the same as F.,True
507,F U 88.,H U 88.,U is a functional property.,"Given the previous statements, is H the same as F?",Yes,H is the same as F.,True
508,F Z 77.,O Z 77.,Z is a functional property.,"Given the previous statements, is O the same as F?",Yes,O is the same as F.,True
509,F G 42.,O G 42.,G is a functional property.,"Given the previous statements, is O the same as F?",Yes,O is the same as F.,True
510,F G 56.,R G 56.,G is a functional property.,"Given the previous statements, is R the same as F?",Yes,R is the same as F.,True
511,F I 31.,Z I 31.,I is a functional property.,"Given the previous statements, is Z the same as F?",Yes,Z is the same as F.,True
512,F I 69.,P I 69.,I is a functional property.,"Given the previous statements, is P the same as F?",Yes,P is the same as F.,True
513,F O 4.,T O 4.,O is a functional property.,"Given the previous statements, is T the same as F?",Yes,T is the same as F.,True
514,F A 67.,P A 67.,A is a functional property.,"Given the previous statements, is P the same as F?",Yes,P is the same as F.,True
515,F S 54.,Z S 54.,S is a functional property.,"Given the previous statements, is Z the same as F?",Yes,Z is the same as F.,True
516,F L 63.,V L 63.,L is a functional property.,"Given the previous statements, is V the same as F?",Yes,V is the same as F.,True
517,F M 36.,I M 36.,M is a functional property.,"Given the previous statements, is I the same as F?",Yes,I is the same as F.,True
518,F P 73.,H P 73.,P is a functional property.,"Given the previous statements, is H the same as F?",Yes,H is the same as F.,True
519,F D 60.,H D 60.,D is a functional property.,"Given the previous statements, is H the same as F?",Yes,H is the same as F.,True
520,F Z 84.,Y Z 84.,Z is a functional property.,"Given the previous statements, is Y the same as F?",Yes,Y is the same as F.,True
521,F N 92.,B N 92.,N is a functional property.,"Given the previous statements, is B the same as F?",Yes,B is the same as F.,True
522,F Y 12.,I Y 12.,Y is a functional property.,"Given the previous statements, is I the same as F?",Yes,I is the same as F.,True
523,F Z 29.,E Z 29.,Z is a functional property.,"Given the previous statements, is E the same as F?",Yes,E is the same as F.,True
524,F M 96.,T M 96.,M is a functional property.,"Given the previous statements, is T the same as F?",Yes,T is the same as F.,True
525,F B 34.,M B 34.,B is a functional property.,"Given the previous statements, is M the same as F?",Yes,M is the same as F.,True
526,F V 15.,I V 15.,V is a functional property.,"Given the previous statements, is I the same as F?",Yes,I is the same as F.,True
527,F W 73.,Z W 73.,W is a functional property.,"Given the previous statements, is Z the same as F?",Yes,Z is the same as F.,True
528,F W 22.,P W 22.,W is a functional property.,"Given the previous statements, is P the same as F?",Yes,P is the same as F.,True
529,F J 95.,G J 95.,J is a functional property.,"Given the previous statements, is G the same as F?",Yes,G is the same as F.,True
530,F Z 50.,B Z 50.,Z is a functional property.,"Given the previous statements, is B the same as F?",Yes,B is the same as F.,True
531,F O 47.,P O 47.,O is a functional property.,"Given the previous statements, is P the same as F?",Yes,P is the same as F.,True
532,F H 53.,X H 53.,H is a functional property.,"Given the previous statements, is X the same as F?",Yes,X is the same as F.,True
533,F K 22.,Q K 22.,K is a functional property.,"Given the previous statements, is Q the same as F?",Yes,Q is the same as F.,True
534,F V 82.,G V 82.,V is a functional property.,"Given the previous statements, is G the same as F?",Yes,G is the same as F.,True
535,F L 64.,S L 64.,L is a functional property.,"Given the previous statements, is S the same as F?",Yes,S is the same as F.,True
536,F C 78.,J C 78.,C is a functional property.,"Given the previous statements, is J the same as F?",Yes,J is the same as F.,True
537,F X 90.,H X 90.,X is a functional property.,"Given the previous statements, is H the same as F?",Yes,H is the same as F.,True
538,F U 83.,O U 83.,U is a functional property.,"Given the previous statements, is O the same as F?",Yes,O is the same as F.,True
539,F G 82.,H G 82.,G is a functional property.,"Given the previous statements, is H the same as F?",Yes,H is the same as F.,True
540,F Y 48.,C Y 48.,Y is a functional property.,"Given the previous statements, is C the same as F?",Yes,C is the same as F.,True
541,F J 92.,B J 92.,J is a functional property.,"Given the previous statements, is B the same as F?",Yes,B is the same as F.,True
542,F D 7.,J D 7.,D is a functional property.,"Given the previous statements, is J the same as F?",Yes,J is the same as F.,True
543,F Q 96.,B Q 96.,Q is a functional property.,"Given the previous statements, is B the same as F?",Yes,B is the same as F.,True
544,F G 28.,L G 28.,G is a functional property.,"Given the previous statements, is L the same as F?",Yes,L is the same as F.,True
545,F Z 24.,W Z 24.,Z is a functional property.,"Given the previous statements, is W the same as F?",Yes,W is the same as F.,True
546,F M 43.,A M 43.,M is a functional property.,"Given the previous statements, is A the same as F?",Yes,A is the same as F.,True
547,F Q 10.,R Q 10.,Q is a functional property.,"Given the previous statements, is R the same as F?",Yes,R is the same as F.,True
548,F V 6.,W V 6.,V is a functional property.,"Given the previous statements, is W the same as F?",Yes,W is the same as F.,True
549,F T 53.,E T 53.,T is a functional property.,"Given the previous statements, is E the same as F?",Yes,E is the same as F.,True
550,F K 78.,J K 78.,K is a functional property.,"Given the previous statements, is J the same as F?",Yes,J is the same as F.,True
551,F K 45.,W K 45.,K is a functional property.,"Given the previous statements, is W the same as F?",Yes,W is the same as F.,True
552,F J 66.,Y J 66.,J is a functional property.,"Given the previous statements, is Y the same as F?",Yes,Y is the same as F.,True
553,F R 64.,D R 64.,R is a functional property.,"Given the previous statements, is D the same as F?",Yes,D is the same as F.,True
554,F O 11.,Q O 11.,O is a functional property.,"Given the previous statements, is Q the same as F?",Yes,Q is the same as F.,True
555,F T 61.,I T 61.,T is a functional property.,"Given the previous statements, is I the same as F?",Yes,I is the same as F.,True
556,F E 73.,N E 73.,E is a functional property.,"Given the previous statements, is N the same as F?",Yes,N is the same as F.,True
557,F N 49.,E N 49.,N is a functional property.,"Given the previous statements, is E the same as F?",Yes,E is the same as F.,True
558,F Z 75.,L Z 75.,Z is a functional property.,"Given the previous statements, is L the same as F?",Yes,L is the same as F.,True
559,F M 92.,U M 92.,M is a functional property.,"Given the previous statements, is U the same as F?",Yes,U is the same as F.,True
560,F V 40.,D V 40.,V is a functional property.,"Given the previous statements, is D the same as F?",Yes,D is the same as F.,True
561,F D 63.,L D 63.,D is a functional property.,"Given the previous statements, is L the same as F?",Yes,L is the same as F.,True
562,F M 62.,G M 62.,M is a functional property.,"Given the previous statements, is G the same as F?",Yes,G is the same as F.,True
563,F T 10.,R T 10.,T is a functional property.,"Given the previous statements, is R the same as F?",Yes,R is the same as F.,True
564,F Z 65.,G Z 65.,Z is a functional property.,"Given the previous statements, is G the same as F?",Yes,G is the same as F.,True
565,F B 59.,X B 59.,B is a functional property.,"Given the previous statements, is X the same as F?",Yes,X is the same as F.,True
566,F M 90.,T M 90.,M is a functional property.,"Given the previous statements, is T the same as F?",Yes,T is the same as F.,True
567,F W 62.,B W 62.,W is a functional property.,"Given the previous statements, is B the same as F?",Yes,B is the same as F.,True
568,F P 94.,S P 94.,P is a functional property.,"Given the previous statements, is S the same as F?",Yes,S is the same as F.,True
569,F Z 93.,R Z 93.,Z is a functional property.,"Given the previous statements, is R the same as F?",Yes,R is the same as F.,True
570,F C 74.,G C 74.,C is a functional property.,"Given the previous statements, is G the same as F?",Yes,G is the same as F.,True
571,F Q 83.,O Q 83.,Q is a functional property.,"Given the previous statements, is O the same as F?",Yes,O is the same as F.,True
572,F V 96.,A V 96.,V is a functional property.,"Given the previous statements, is A the same as F?",Yes,A is the same as F.,True
573,F O 8.,C O 8.,O is a functional property.,"Given the previous statements, is C the same as F?",Yes,C is the same as F.,True
574,F B 44.,P B 44.,B is a functional property.,"Given the previous statements, is P the same as F?",Yes,P is the same as F.,True
575,F W 33.,G W 33.,W is a functional property.,"Given the previous statements, is G the same as F?",Yes,G is the same as F.,True
576,F Z 6.,L Z 6.,Z is a functional property.,"Given the previous statements, is L the same as F?",Yes,L is the same as F.,True
577,F M 64.,I M 64.,M is a functional property.,"Given the previous statements, is I the same as F?",Yes,I is the same as F.,True
578,F L 13.,N L 13.,L is a functional property.,"Given the previous statements, is N the same as F?",Yes,N is the same as F.,True
579,F C 58.,P C 58.,C is a functional property.,"Given the previous statements, is P the same as F?",Yes,P is the same as F.,True
580,F X 18.,N X 18.,X is a functional property.,"Given the previous statements, is N the same as F?",Yes,N is the same as F.,True
581,F X 56.,G X 56.,X is a functional property.,"Given the previous statements, is G the same as F?",Yes,G is the same as F.,True
582,F V 65.,R V 65.,V is a functional property.,"Given the previous statements, is R the same as F?",Yes,R is the same as F.,True
583,F M 35.,J M 35.,M is a functional property.,"Given the previous statements, is J the same as F?",Yes,J is the same as F.,True
584,F K 42.,L K 42.,K is a functional property.,"Given the previous statements, is L the same as F?",Yes,L is the same as F.,True
585,F K 75.,M K 75.,K is a functional property.,"Given the previous statements, is M the same as F?",Yes,M is the same as F.,True
586,F L 56.,C L 56.,L is a functional property.,"Given the previous statements, is C the same as F?",Yes,C is the same as F.,True
587,F O 10.,B O 10.,O is a functional property.,"Given the previous statements, is B the same as F?",Yes,B is the same as F.,True
588,F W 8.,A W 8.,W is a functional property.,"Given the previous statements, is A the same as F?",Yes,A is the same as F.,True
589,F C 42.,P C 42.,C is a functional property.,"Given the previous statements, is P the same as F?",Yes,P is the same as F.,True
590,F R 70.,T R 70.,R is a functional property.,"Given the previous statements, is T the same as F?",Yes,T is the same as F.,True
591,F L 67.,E L 67.,L is a functional property.,"Given the previous statements, is E the same as F?",Yes,E is the same as F.,True
592,F K 19.,N K 19.,K is a functional property.,"Given the previous statements, is N the same as F?",Yes,N is the same as F.,True
593,F C 53.,E C 53.,C is a functional property.,"Given the previous statements, is E the same as F?",Yes,E is the same as F.,True
594,F H 4.,N H 4.,H is a functional property.,"Given the previous statements, is N the same as F?",Yes,N is the same as F.,True
595,F V 17.,C V 17.,V is a functional property.,"Given the previous statements, is C the same as F?",Yes,C is the same as F.,True
596,F I 51.,R I 51.,I is a functional property.,"Given the previous statements, is R the same as F?",Yes,R is the same as F.,True
597,F B 50.,T B 50.,B is a functional property.,"Given the previous statements, is T the same as F?",Yes,T is the same as F.,True
598,F B 51.,Q B 51.,B is a functional property.,"Given the previous statements, is Q the same as F?",Yes,Q is the same as F.,True
599,F C 72.,P C 72.,C is a functional property.,"Given the previous statements, is P the same as F?",Yes,P is the same as F.,True
600,F A 75.,X A 75.,A is a functional property.,"Given the previous statements, is X the same as F?",Yes,X is the same as F.,True
601,G Z 33.,D Z 33.,Z is a functional property.,"Given the previous statements, is D the same as G?",Yes,D is the same as G.,True
602,G Q 76.,U Q 76.,Q is a functional property.,"Given the previous statements, is U the same as G?",Yes,U is the same as G.,True
603,G U 31.,D U 31.,U is a functional property.,"Given the previous statements, is D the same as G?",Yes,D is the same as G.,True
604,G P 47.,V P 47.,P is a functional property.,"Given the previous statements, is V the same as G?",Yes,V is the same as G.,True
605,G K 20.,L K 20.,K is a functional property.,"Given the previous statements, is L the same as G?",Yes,L is the same as G.,True
606,G Z 34.,H Z 34.,Z is a functional property.,"Given the previous statements, is H the same as G?",Yes,H is the same as G.,True
607,G C 31.,B C 31.,C is a functional property.,"Given the previous statements, is B the same as G?",Yes,B is the same as G.,True
608,G D 85.,A D 85.,D is a functional property.,"Given the previous statements, is A the same as G?",Yes,A is the same as G.,True
609,G S 31.,U S 31.,S is a functional property.,"Given the previous statements, is U the same as G?",Yes,U is the same as G.,True
610,G C 49.,P C 49.,C is a functional property.,"Given the previous statements, is P the same as G?",Yes,P is the same as G.,True
611,G F 58.,I F 58.,F is a functional property.,"Given the previous statements, is I the same as G?",Yes,I is the same as G.,True
612,G L 22.,J L 22.,L is a functional property.,"Given the previous statements, is J the same as G?",Yes,J is the same as G.,True
613,G W 21.,H W 21.,W is a functional property.,"Given the previous statements, is H the same as G?",Yes,H is the same as G.,True
614,G A 9.,O A 9.,A is a functional property.,"Given the previous statements, is O the same as G?",Yes,O is the same as G.,True
615,G S 98.,U S 98.,S is a functional property.,"Given the previous statements, is U the same as G?",Yes,U is the same as G.,True
616,G V 77.,X V 77.,V is a functional property.,"Given the previous statements, is X the same as G?",Yes,X is the same as G.,True
617,G N 21.,S N 21.,N is a functional property.,"Given the previous statements, is S the same as G?",Yes,S is the same as G.,True
618,G X 94.,F X 94.,X is a functional property.,"Given the previous statements, is F the same as G?",Yes,F is the same as G.,True
619,G F 35.,U F 35.,F is a functional property.,"Given the previous statements, is U the same as G?",Yes,U is the same as G.,True
620,G A 24.,M A 24.,A is a functional property.,"Given the previous statements, is M the same as G?",Yes,M is the same as G.,True
621,G N 60.,D N 60.,N is a functional property.,"Given the previous statements, is D the same as G?",Yes,D is the same as G.,True
622,G P 2.,T P 2.,P is a functional property.,"Given the previous statements, is T the same as G?",Yes,T is the same as G.,True
623,G Z 9.,P Z 9.,Z is a functional property.,"Given the previous statements, is P the same as G?",Yes,P is the same as G.,True
624,G U 23.,L U 23.,U is a functional property.,"Given the previous statements, is L the same as G?",Yes,L is the same as G.,True
625,G A 40.,X A 40.,A is a functional property.,"Given the previous statements, is X the same as G?",Yes,X is the same as G.,True
626,G D 50.,R D 50.,D is a functional property.,"Given the previous statements, is R the same as G?",Yes,R is the same as G.,True
627,G T 93.,K T 93.,T is a functional property.,"Given the previous statements, is K the same as G?",Yes,K is the same as G.,True
628,G W 68.,C W 68.,W is a functional property.,"Given the previous statements, is C the same as G?",Yes,C is the same as G.,True
629,G R 71.,V R 71.,R is a functional property.,"Given the previous statements, is V the same as G?",Yes,V is the same as G.,True
630,G U 13.,X U 13.,U is a functional property.,"Given the previous statements, is X the same as G?",Yes,X is the same as G.,True
631,G X 90.,T X 90.,X is a functional property.,"Given the previous statements, is T the same as G?",Yes,T is the same as G.,True
632,G K 81.,M K 81.,K is a functional property.,"Given the previous statements, is M the same as G?",Yes,M is the same as G.,True
633,G Q 23.,Y Q 23.,Q is a functional property.,"Given the previous statements, is Y the same as G?",Yes,Y is the same as G.,True
634,G L 29.,I L 29.,L is a functional property.,"Given the previous statements, is I the same as G?",Yes,I is the same as G.,True
635,G N 90.,I N 90.,N is a functional property.,"Given the previous statements, is I the same as G?",Yes,I is the same as G.,True
636,G P 5.,W P 5.,P is a functional property.,"Given the previous statements, is W the same as G?",Yes,W is the same as G.,True
637,G H 49.,B H 49.,H is a functional property.,"Given the previous statements, is B the same as G?",Yes,B is the same as G.,True
638,G Y 19.,Z Y 19.,Y is a functional property.,"Given the previous statements, is Z the same as G?",Yes,Z is the same as G.,True
639,G E 21.,H E 21.,E is a functional property.,"Given the previous statements, is H the same as G?",Yes,H is the same as G.,True
640,G E 36.,R E 36.,E is a functional property.,"Given the previous statements, is R the same as G?",Yes,R is the same as G.,True
641,G P 5.,U P 5.,P is a functional property.,"Given the previous statements, is U the same as G?",Yes,U is the same as G.,True
642,G O 82.,X O 82.,O is a functional property.,"Given the previous statements, is X the same as G?",Yes,X is the same as G.,True
643,G D 30.,T D 30.,D is a functional property.,"Given the previous statements, is T the same as G?",Yes,T is the same as G.,True
644,G H 57.,W H 57.,H is a functional property.,"Given the previous statements, is W the same as G?",Yes,W is the same as G.,True
645,G F 60.,B F 60.,F is a functional property.,"Given the previous statements, is B the same as G?",Yes,B is the same as G.,True
646,G J 99.,U J 99.,J is a functional property.,"Given the previous statements, is U the same as G?",Yes,U is the same as G.,True
647,G C 99.,Z C 99.,C is a functional property.,"Given the previous statements, is Z the same as G?",Yes,Z is the same as G.,True
648,G O 52.,K O 52.,O is a functional property.,"Given the previous statements, is K the same as G?",Yes,K is the same as G.,True
649,G Y 87.,D Y 87.,Y is a functional property.,"Given the previous statements, is D the same as G?",Yes,D is the same as G.,True
650,G Y 90.,J Y 90.,Y is a functional property.,"Given the previous statements, is J the same as G?",Yes,J is the same as G.,True
651,G M 6.,U M 6.,M is a functional property.,"Given the previous statements, is U the same as G?",Yes,U is the same as G.,True
652,G Y 93.,C Y 93.,Y is a functional property.,"Given the previous statements, is C the same as G?",Yes,C is the same as G.,True
653,G Q 35.,I Q 35.,Q is a functional property.,"Given the previous statements, is I the same as G?",Yes,I is the same as G.,True
654,G Z 62.,A Z 62.,Z is a functional property.,"Given the previous statements, is A the same as G?",Yes,A is the same as G.,True
655,G F 54.,S F 54.,F is a functional property.,"Given the previous statements, is S the same as G?",Yes,S is the same as G.,True
656,G R 66.,N R 66.,R is a functional property.,"Given the previous statements, is N the same as G?",Yes,N is the same as G.,True
657,G P 63.,I P 63.,P is a functional property.,"Given the previous statements, is I the same as G?",Yes,I is the same as G.,True
658,G E 71.,A E 71.,E is a functional property.,"Given the previous statements, is A the same as G?",Yes,A is the same as G.,True
659,G D 70.,N D 70.,D is a functional property.,"Given the previous statements, is N the same as G?",Yes,N is the same as G.,True
660,G C 14.,I C 14.,C is a functional property.,"Given the previous statements, is I the same as G?",Yes,I is the same as G.,True
661,G R 40.,E R 40.,R is a functional property.,"Given the previous statements, is E the same as G?",Yes,E is the same as G.,True
662,G Y 4.,V Y 4.,Y is a functional property.,"Given the previous statements, is V the same as G?",Yes,V is the same as G.,True
663,G S 43.,K S 43.,S is a functional property.,"Given the previous statements, is K the same as G?",Yes,K is the same as G.,True
664,G I 40.,C I 40.,I is a functional property.,"Given the previous statements, is C the same as G?",Yes,C is the same as G.,True
665,G J 21.,F J 21.,J is a functional property.,"Given the previous statements, is F the same as G?",Yes,F is the same as G.,True
666,G L 26.,O L 26.,L is a functional property.,"Given the previous statements, is O the same as G?",Yes,O is the same as G.,True
667,G W 79.,A W 79.,W is a functional property.,"Given the previous statements, is A the same as G?",Yes,A is the same as G.,True
668,G P 51.,X P 51.,P is a functional property.,"Given the previous statements, is X the same as G?",Yes,X is the same as G.,True
669,G X 48.,M X 48.,X is a functional property.,"Given the previous statements, is M the same as G?",Yes,M is the same as G.,True
670,G M 71.,V M 71.,M is a functional property.,"Given the previous statements, is V the same as G?",Yes,V is the same as G.,True
671,G A 11.,W A 11.,A is a functional property.,"Given the previous statements, is W the same as G?",Yes,W is the same as G.,True
672,G W 58.,L W 58.,W is a functional property.,"Given the previous statements, is L the same as G?",Yes,L is the same as G.,True
673,G J 92.,D J 92.,J is a functional property.,"Given the previous statements, is D the same as G?",Yes,D is the same as G.,True
674,G D 33.,H D 33.,D is a functional property.,"Given the previous statements, is H the same as G?",Yes,H is the same as G.,True
675,G U 5.,C U 5.,U is a functional property.,"Given the previous statements, is C the same as G?",Yes,C is the same as G.,True
676,G M 62.,Z M 62.,M is a functional property.,"Given the previous statements, is Z the same as G?",Yes,Z is the same as G.,True
677,G I 18.,S I 18.,I is a functional property.,"Given the previous statements, is S the same as G?",Yes,S is the same as G.,True
678,G K 63.,A K 63.,K is a functional property.,"Given the previous statements, is A the same as G?",Yes,A is the same as G.,True
679,G F 43.,N F 43.,F is a functional property.,"Given the previous statements, is N the same as G?",Yes,N is the same as G.,True
680,G O 81.,N O 81.,O is a functional property.,"Given the previous statements, is N the same as G?",Yes,N is the same as G.,True
681,G S 28.,C S 28.,S is a functional property.,"Given the previous statements, is C the same as G?",Yes,C is the same as G.,True
682,G O 73.,T O 73.,O is a functional property.,"Given the previous statements, is T the same as G?",Yes,T is the same as G.,True
683,G E 91.,U E 91.,E is a functional property.,"Given the previous statements, is U the same as G?",Yes,U is the same as G.,True
684,G J 84.,K J 84.,J is a functional property.,"Given the previous statements, is K the same as G?",Yes,K is the same as G.,True
685,G C 22.,W C 22.,C is a functional property.,"Given the previous statements, is W the same as G?",Yes,W is the same as G.,True
686,G K 68.,W K 68.,K is a functional property.,"Given the previous statements, is W the same as G?",Yes,W is the same as G.,True
687,G A 65.,Q A 65.,A is a functional property.,"Given the previous statements, is Q the same as G?",Yes,Q is the same as G.,True
688,G K 27.,P K 27.,K is a functional property.,"Given the previous statements, is P the same as G?",Yes,P is the same as G.,True
689,G T 74.,U T 74.,T is a functional property.,"Given the previous statements, is U the same as G?",Yes,U is the same as G.,True
690,G F 24.,C F 24.,F is a functional property.,"Given the previous statements, is C the same as G?",Yes,C is the same as G.,True
691,G X 13.,C X 13.,X is a functional property.,"Given the previous statements, is C the same as G?",Yes,C is the same as G.,True
692,G A 28.,W A 28.,A is a functional property.,"Given the previous statements, is W the same as G?",Yes,W is the same as G.,True
693,G M 51.,J M 51.,M is a functional property.,"Given the previous statements, is J the same as G?",Yes,J is the same as G.,True
694,G H 42.,V H 42.,H is a functional property.,"Given the previous statements, is V the same as G?",Yes,V is the same as G.,True
695,G Y 8.,N Y 8.,Y is a functional property.,"Given the previous statements, is N the same as G?",Yes,N is the same as G.,True
696,G Z 20.,R Z 20.,Z is a functional property.,"Given the previous statements, is R the same as G?",Yes,R is the same as G.,True
697,G J 14.,B J 14.,J is a functional property.,"Given the previous statements, is B the same as G?",Yes,B is the same as G.,True
698,G V 38.,Z V 38.,V is a functional property.,"Given the previous statements, is Z the same as G?",Yes,Z is the same as G.,True
699,G R 62.,B R 62.,R is a functional property.,"Given the previous statements, is B the same as G?",Yes,B is the same as G.,True
700,G U 40.,B U 40.,U is a functional property.,"Given the previous statements, is B the same as G?",Yes,B is the same as G.,True
701,H M 53.,N M 53.,M is a functional property.,"Given the previous statements, is N the same as H?",Yes,N is the same as H.,True
702,H L 21.,F L 21.,L is a functional property.,"Given the previous statements, is F the same as H?",Yes,F is the same as H.,True
703,H W 92.,U W 92.,W is a functional property.,"Given the previous statements, is U the same as H?",Yes,U is the same as H.,True
704,H I 93.,W I 93.,I is a functional property.,"Given the previous statements, is W the same as H?",Yes,W is the same as H.,True
705,H E 76.,L E 76.,E is a functional property.,"Given the previous statements, is L the same as H?",Yes,L is the same as H.,True
706,H A 87.,D A 87.,A is a functional property.,"Given the previous statements, is D the same as H?",Yes,D is the same as H.,True
707,H S 60.,U S 60.,S is a functional property.,"Given the previous statements, is U the same as H?",Yes,U is the same as H.,True
708,H X 98.,R X 98.,X is a functional property.,"Given the previous statements, is R the same as H?",Yes,R is the same as H.,True
709,H Y 26.,F Y 26.,Y is a functional property.,"Given the previous statements, is F the same as H?",Yes,F is the same as H.,True
710,H Z 88.,Y Z 88.,Z is a functional property.,"Given the previous statements, is Y the same as H?",Yes,Y is the same as H.,True
711,H K 69.,F K 69.,K is a functional property.,"Given the previous statements, is F the same as H?",Yes,F is the same as H.,True
712,H R 60.,W R 60.,R is a functional property.,"Given the previous statements, is W the same as H?",Yes,W is the same as H.,True
